Name,SRR10089589,SRR10089616,SRR10089583,SRR10089670,SRR10089428,SRR10089494,SRR10089413,SRR10089431
ENSG00000000003,49,37,57,76,33,66,36,119
ENSG00000000005,0,0,0,0,0,0,0,0
ENSG00000000419,498,387,243,504,544,451,417,575
ENSG00000000457,1432,1081,1144,1624,1278,1371,1425,1741
ENSG00000000460,334,278,274,463,334,239,382,417
ENSG00000000938,777,276,658,676,163,254,299,168
ENSG00000000971,275,951,224,278,742,279,318,294
ENSG00000001036,253,199,186,213,185,191,168,218
ENSG00000001084,843,700,748,924,986,822,764,1136
ENSG00000001167,1912,1666,1618,2328,2112,2090,2178,2468
ENSG00000001460,227,152,181,273,171,305,224,353
ENSG00000001461,4865,4641,3890,5431,5247,6133,5115,6745
ENSG00000001497,1152,925,985,1483,1359,1269,1165,1435
ENSG00000001561,641,510,748,881,736,809,763,1004
ENSG00000001617,0,0,2,0,0,0,1,0
ENSG00000001626,0,0,0,0,0,0,0,2
ENSG00000001629,2918,2440,2286,3106,3222,2895,2852,4070
ENSG00000001630,539,424,606,574,634,535,570,821
ENSG00000001631,1634,1378,1282,1676,1788,1736,1639,1937
ENSG00000002016,582,401,316,556,436,606,542,594
ENSG00000002079,0,0,0,0,0,0,1,1
ENSG00000002330,323,299,334,345,314,347,343,407
ENSG00000002549,755,620,533,859,705,643,752,831
ENSG00000002586,4622,3868,4320,4441,3537,4106,3043,4607
ENSG00000002587,12,6,6,7,6,4,9,9
ENSG00000002726,0,0,0,0,0,0,1,0
ENSG00000002745,0,1,0,2,0,1,1,2
ENSG00000002746,36,26,28,27,33,64,17,38
ENSG00000002822,2079,1310,1498,2054,2073,1968,2650,2744
ENSG00000002834,8793,7240,6617,8206,7974,7685,7381,9758
ENSG00000002919,590,377,545,738,475,669,588,624
ENSG00000002933,50,9,3,6,6,9,27,19
ENSG00000003056,5825,4851,4774,5813,6430,5544,4838,7913
ENSG00000003096,20,10,22,45,29,38,21,31
ENSG00000003137,0,0,0,0,0,1,1,0
ENSG00000003147,120,56,41,97,74,68,100,104
ENSG00000003249,83,71,123,142,44,480,214,134
ENSG00000003393,569,423,387,644,591,639,440,635
ENSG00000003400,2672,2308,2326,2915,3240,3683,3362,3145
ENSG00000003402,14444,13442,12728,13729,15522,15084,11903,16135
ENSG00000003436,957,1052,892,851,900,1091,770,1075
ENSG00000003509,485,436,415,478,588,592,534,577
ENSG00000003756,6785,5627,5222,7575,6991,7809,7092,8013
ENSG00000003987,3,1,5,13,3,7,10,11
ENSG00000003989,0,0,0,0,0,1,0,0
ENSG00000004059,1972,1550,1789,2359,1915,2024,1727,2557
ENSG00000004139,2161,1872,2096,2815,2403,2518,2201,2760
ENSG00000004142,1324,891,1046,1554,1239,1158,1145,1560
ENSG00000004399,1446,1048,983,1106,992,915,1020,1627
ENSG00000004455,2210,1597,1918,2404,2142,2376,2135,2750
ENSG00000004468,711,231,456,906,569,793,890,1378
ENSG00000004478,1377,1058,916,1354,1378,1295,1510,1543
ENSG00000004487,1818,1416,1430,2132,1899,1904,1908,2473
ENSG00000004534,3902,3337,3322,5113,4943,4763,3783,4575
ENSG00000004660,383,328,323,588,399,412,468,458
ENSG00000004700,1775,1658,1238,1778,2158,1774,1677,2273
ENSG00000004766,1123,1006,901,1219,1194,1240,1114,1425
ENSG00000004776,2,1,3,1,0,2,1,5
ENSG00000004777,670,578,738,751,607,703,499,555
ENSG00000004779,445,423,323,491,439,510,394,578
ENSG00000004799,28,9,14,35,18,22,26,7
ENSG00000004809,3,1,1,0,1,1,2,1
ENSG00000004838,73,62,69,55,69,77,74,58
ENSG00000004846,32,50,34,37,49,67,47,50
ENSG00000004848,0,0,0,0,0,0,0,1
ENSG00000004864,289,211,220,315,306,235,220,303
ENSG00000004866,161,86,124,121,122,97,118,143
ENSG00000004897,2455,2075,1721,2463,2611,2255,2331,3084
ENSG00000004939,17,14,14,9,11,25,13,9
ENSG00000004948,0,0,0,0,0,0,0,0
ENSG00000004961,262,248,203,316,335,268,269,375
ENSG00000004975,1350,1070,1170,1754,1419,1383,1562,1677
ENSG00000005001,6,20,3,12,8,13,9,9
ENSG00000005007,6271,4830,4822,6712,5856,5985,5748,7349
ENSG00000005020,344,342,241,310,203,188,234,265
ENSG00000005022,3903,2545,2692,4554,3726,3415,3454,4670
ENSG00000005059,2787,2101,2491,3386,2643,3090,3397,3524
ENSG00000005073,0,0,0,0,0,0,0,0
ENSG00000005075,444,363,295,435,460,399,401,592
ENSG00000005100,847,664,760,1017,924,880,901,1092
ENSG00000005102,217,97,107,158,157,185,153,420
ENSG00000005108,0,1,0,1,0,0,0,3
ENSG00000005156,2596,2276,2378,2851,2850,3055,2709,3006
ENSG00000005175,990,821,745,1234,974,1117,1092,1299
ENSG00000005187,156,146,156,275,244,225,224,250
ENSG00000005189,18,11,3,18,9,7,9,13
ENSG00000005194,855,654,704,1486,892,930,1233,1255
ENSG00000005206,2832,1806,2811,4085,2560,3340,3428,3561
ENSG00000005238,442,351,292,450,315,276,342,470
ENSG00000005243,11,16,7,11,13,14,10,10
ENSG00000005249,115,119,42,212,112,107,211,313
ENSG00000005302,2645,2320,2340,3752,3168,3927,3121,3657
ENSG00000005339,12266,9655,9675,11931,13005,11671,11880,13787
ENSG00000005379,1354,1081,1113,1126,916,985,1024,1118
ENSG00000005381,11,6,26,2,2,2,2,1
ENSG00000005421,5,3,0,0,0,0,0,0
ENSG00000005436,752,497,589,930,729,696,796,962
ENSG00000005448,562,404,399,595,564,555,572,633
ENSG00000005469,560,580,457,577,637,545,518,666
ENSG00000005471,0,0,2,0,0,2,2,1
ENSG00000005483,9291,7828,7271,9440,10470,8734,9586,11853
ENSG00000005486,1236,1015,1103,1494,1304,1160,1306,1893
ENSG00000005513,212,177,204,330,284,341,371,472
