Name,symbol,log2FoldChange,pvalue,padj,baseMean
ENSG00000277150,F8A3,4.0,1.4510990874115613e-27,2.595726047561801e-23,389.4
ENSG00000275895,U2AF1L5,-1.73,1.022797975981007e-17,9.147905097174127e-14,1392.8
ENSG00000259024,TVP23C-CDRT4,4.04,3.62232943444598e-15,2.1598742974456562e-11,93.0
ENSG00000210082,MT-RNR2,-1.42,4.870677157941105e-15,2.178166825031262e-11,76721.0
ENSG00000279942,RP1-153P14.7,-3.83,1.629402163980614e-12,5.753798073989177e-09,81.4
ENSG00000165617,DACT1,2.18,1.929941214441808e-12,5.753798073989177e-09,832.9
ENSG00000211459,MT-RNR1,-1.78,2.4512156612356064e-12,6.2639065354546475e-09,4884.6
ENSG00000111863,ADTRP,1.33,7.821695988125165e-11,1.7489312229447868e-07,719.1
ENSG00000170160,CCDC144A,1.65,1.6321840458720677e-10,3.244056468062172e-07,598.9
ENSG00000099860,GADD45B,-1.24,3.765260983197492e-10,6.611573682824281e-07,1726.3
ENSG00000177606,JUN,-1.41,4.065703852362874e-10,6.611573682824281e-07,4717.3
ENSG00000260807,RP11-161M6.2,1.52,6.505771706667343e-10,9.69793702407212e-07,1303.8
ENSG00000264772,RP11-186B7.4,-1.39,1.0032108232884743e-09,1.2999365230820738e-06,572.6
ENSG00000188933,USP32P1,1.72,1.0173921804085996e-09,1.2999365230820738e-06,431.4
ENSG00000158966,CACHD1,1.62,2.3447176620334764e-09,2.721342471270494e-06,333.5
ENSG00000066735,KIF26A,4.62,2.4341167005997263e-09,2.721342471270494e-06,77.4
ENSG00000234290,AC116366.6,-2.09,5.41979178189508e-09,5.702896199678776e-06,307.8
ENSG00000227920,RP1-153P14.5,-3.83,1.236634029339152e-08,1.2289394176010419e-05,50.1
ENSG00000116791,CRYZ,1.26,1.373833223069272e-08,1.2934278260138494e-05,626.3
ENSG00000145632,PLK2,-2.2,1.5711805485838064e-08,1.4052638826533563e-05,129.9
