Name,symbol,log2FoldChange,pvalue,padj,baseMean
ENSG00000175164,ABO,6.2,5.561338435745593e-45,9.895845612565709e-41,359.0
ENSG00000181409,AATK,-4.15,3.695070616617612e-29,3.2875043276046895e-25,313.1
ENSG00000134184,GSTM1,-9.62,2.6937215904421235e-19,1.5977360660109049e-15,363.3
ENSG00000174600,CMKLR1,-3.82,6.775049947791973e-16,3.0138809692752593e-12,187.6
ENSG00000109956,B3GAT1,-3.81,1.4037879774172162e-14,4.995800654032389e-11,205.8
ENSG00000116667,C1orf21,-4.63,2.5967597384759525e-14,7.701123797740183e-11,147.7
ENSG00000169554,ZEB2,-2.61,2.6824553843022694e-13,6.818801586896368e-10,863.7
ENSG00000115956,PLEK,-2.22,1.7239243908552414e-12,3.83443882635977e-09,802.3
ENSG00000159674,SPON2,-1.99,4.392640306439614e-11,8.684737956976277e-08,626.9
ENSG00000211753,TRBV28,2.07,8.68896332962527e-10,1.5461141348735204e-06,269.9
ENSG00000277150,F8A3,-5.48,3.5073135718779832e-09,5.673557972545167e-06,735.7
ENSG00000152217,SETBP1,-3.1,1.355786800899641e-08,2.0104058612673508e-05,110.6
ENSG00000100450,GZMH,-5.42,1.661559754938158e-08,2.274291867643814e-05,699.6
ENSG00000183734,ASCL2,-2.82,9.269996230331524e-08,0.00011782165208751367,84.7
ENSG00000100453,GZMB,-2.84,1.3595627803874684e-07,0.00016128040076143074,105.1
ENSG00000164669,INTS4P1,3.63,1.5895428691078497e-07,0.00017677703633065675,59.8
ENSG00000137441,FGFBP2,-5.03,2.5818655010408684e-07,0.00027024538073836007,465.8
ENSG00000169896,ITGAM,-1.52,3.4454984695537807e-07,0.0003406066653735554,908.9
ENSG00000007264,MATK,-1.8,4.709672905020944e-07,0.00044107326143127723,544.9
ENSG00000185442,FAM174B,1.94,5.408438182920871e-07,0.00048118874513446993,145.8
