symbol,ensembl_id,log2FoldChange,pvalue,padj,baseMean,biotype,FDR_and_LFC_significant
RP1-153P14.7,ENSG00000279942,-3.39,2.305071860881649e-15,4.965355295525159e-11,83.9,TEC,True
RP1-153P14.5,ENSG00000227920,-3.05,4.4275693287670196e-14,4.768713545548518e-10,54.2,lincRNA,True
MT-RNR2,ENSG00000210082,-1.01,7.114755292870441e-09,5.1086314587907385e-05,60131.7,Mt_rRNA,True
RP11-429E11.3,ENSG00000179253,1.38,1.9494629529210497e-08,0.0001049834536721,85.9,antisense,True
FGR,ENSG00000000938,-1.56,1.6505757718429144e-07,0.0005925842116878,416.0,protein_coding,True
EDARADD,ENSG00000186197,-1.09,1.6503481969142145e-07,0.0005925842116878,193.7,protein_coding,True
GPR141,ENSG00000187037,-3.53,2.020321359872332e-07,0.0006217106059001,23.5,protein_coding,True
U2AF1L5,ENSG00000275895,-1.41,2.7727542570702537e-07,0.0007412910864277,1406.5,protein_coding,True
ZFP57,ENSG00000204644,-8.73,3.0971727300729666e-07,0.0007412910864277,37.9,protein_coding,True
GZMB,ENSG00000100453,-2.18,6.587774667873962e-07,0.0014190725412067,64.7,protein_coding,True
RAB4B-EGLN2,ENSG00000171570,-2.43,8.377906429318078e-07,0.0016406225672176,38.7,protein_coding,True
RALGPS2,ENSG00000116191,0.54,1.5970848397559808e-06,0.0028669003777652,587.7,protein_coding,False
DSC1,ENSG00000134765,1.08,1.860319933606414e-06,0.0030825501299858,450.1,protein_coding,True
HIST1H2AL,ENSG00000276903,-0.97,2.0952419073867294e-06,0.0032238289947869,170.2,protein_coding,False
RP1-153P14.8,ENSG00000204110,-2.82,2.2548000077969997e-06,0.003238043131197,14.8,lincRNA,True
CACHD1,ENSG00000158966,1.35,2.9838714507825144e-06,0.0040172234325816,253.3,protein_coding,True
HIST1H2AH,ENSG00000274997,-0.94,3.914709116015887e-06,0.0046848193926721,393.7,protein_coding,False
METTL12,ENSG00000214756,-0.79,3.8451202967337e-06,0.0046848193926721,380.7,protein_coding,False
CD300A,ENSG00000167851,-1.02,4.63655726945398e-06,0.0052566357969109,598.9,protein_coding,True
ZNF135,ENSG00000176293,1.29,5.2865645492335325e-06,0.0056938943477519,99.3,protein_coding,True
