gene_id,symbol,log2FoldChange,pvalue,padj,baseMean,significant
ENSG00000186197,EDARADD,-1.09,1.6503481969142145e-07,0.0005925842116878,193.7,True
ENSG00000000938,FGR,-1.56,1.6505757718429144e-07,0.0005925842116878,416.0,True
ENSG00000187037,GPR141,-3.53,2.020321359872332e-07,0.0006217106059001,23.5,True
ENSG00000275895,U2AF1L5,-1.41,2.7727542570702537e-07,0.0007412910864277,1406.5,True
ENSG00000204644,ZFP57,-8.73,3.0971727300729666e-07,0.0007412910864277,37.9,True
ENSG00000100453,GZMB,-2.18,6.587774667873962e-07,0.0014190725412067,64.7,True
ENSG00000171570,RAB4B-EGLN2,-2.43,8.377906429318078e-07,0.0016406225672176,38.7,True
ENSG00000116191,RALGPS2,0.54,1.5970848397559808e-06,0.0028669003777652,587.7,True
ENSG00000134765,DSC1,1.08,1.860319933606414e-06,0.0030825501299858,450.1,True
ENSG00000276903,HIST1H2AL,-0.97,2.0952419073867294e-06,0.0032238289947869,170.2,True
ENSG00000158966,CACHD1,1.35,2.9838714507825144e-06,0.0040172234325816,253.3,True
ENSG00000214756,METTL12,-0.79,3.8451202967337e-06,0.0046848193926721,380.7,True
ENSG00000274997,HIST1H2AH,-0.94,3.914709116015887e-06,0.0046848193926721,393.7,True
ENSG00000167851,CD300A,-1.02,4.63655726945398e-06,0.0052566357969109,598.9,True
ENSG00000176293,ZNF135,1.29,5.2865645492335325e-06,0.0056938943477519,99.3,True
ENSG00000274641,HIST1H2BO,-0.86,7.562227119623806e-06,0.0077570444944674,374.9,True
ENSG00000278588,HIST1H2BI,-0.75,7.970648120984722e-06,0.0078043514170059,514.8,True
ENSG00000138835,RGS3,-0.46,8.641151787119798e-06,0.0080930022020151,816.7,True
ENSG00000174837,ADGRE1,0.77,1.2992298310878504e-05,0.0116611290797764,404.3,True
ENSG00000104341,LAPTM4B,0.62,1.7708558775301264e-05,0.0152584025831505,276.8,True
