Gene_set,Term,P-value,Adjusted P-value,Old P-value,Old adjusted P-value,Odds Ratio,Combined Score,Genes
Reactome_2022,NOTCH2 Intracellular Domain Regulates Transcription R-HSA-2197563,0.005482413078091603,0.049622654985946965,0,0,216.66666666666666,1128.0121519825534,GZMB
Reactome_2022,Pyroptosis R-HSA-5620971,0.011925894435690714,0.049622654985946965,0,0,94.15579710144928,417.0200966524987,GZMB
Reactome_2022,Glutathione Conjugation R-HSA-156590,0.014393882151268075,0.049622654985946965,0,0,77.32738095238095,327.94171193175873,GSTM5
Reactome_2022,Signaling By NOTCH2 R-HSA-1980145,0.01488679649578409,0.049622654985946965,0,0,74.6580459770115,314.10734848108905,GZMB
Reactome_2022,Downregulation Of ERBB2 Signaling R-HSA-8863795,0.012419947757916433,0.049622654985946965,0,0,90.22916666666667,395.96631357070856,MATK
Reactome_2022,TNFs Bind Their Physiological Receptors R-HSA-5669034,0.012419947757916433,0.049622654985946965,0,0,90.22916666666667,395.96631357070856,EDARADD
GO_Biological_Process_2023,DNA Methylation Involved In Embryo Development (GO:0043045),0.001996813604962432,0.05355548122274382,0,0,722.4166666666666,4490.688337364957,ZFP57
GO_Biological_Process_2023,Regulation Of Gene Expression By Genomic Imprinting (GO:0006349),0.0034920186228158583,0.05355548122274382,0,0,361.1666666666667,2043.219265414946,ZFP57
GO_Biological_Process_2023,Regulation Of Dendrite Morphogenesis (GO:0048814),0.01340737054644074,0.05355548122274382,0,0,83.28205128205128,359.1080978625674,LZTS1
GO_Biological_Process_2023,Positive Regulation Of Establishment Of Protein Localization To Mitochondrion (GO:1903749),0.015871942733911078,0.05355548122274382,0,0,69.83602150537635,289.34476746879426,GZMB
GO_Biological_Process_2023,Positive Regulation Of Mitochondrial Outer Membrane Permeabilization Involved In Apoptotic Signaling Pathway (GO:1901030),0.004985158475369896,0.05355548122274382,0,0,240.75,1276.2855881150194,GZMB
GO_Biological_Process_2023,DNA Methylation (GO:0006306),0.009452204835058911,0.05355548122274382,0,0,120.33333333333333,560.934705606942,ZFP57
GO_Biological_Process_2023,Natural Killer Cell Mediated Immunity (GO:0002228),0.009947399461784962,0.05355548122274382,0,0,113.99561403508773,525.5704087298952,GZMB
GO_Biological_Process_2023,Natural Killer Cell Mediated Cytotoxicity (GO:0042267),0.010442365642504033,0.05355548122274382,0,0,108.29166666666667,494.0140353707147,GZMB
GO_Biological_Process_2023,Negative Regulation Of Macroautophagy (GO:0016242),0.010937103470997672,0.05355548122274382,0,0,103.13095238095238,465.6975388723362,LZTS1
GO_Biological_Process_2023,Pyroptosis (GO:0070269),0.012419947757916433,0.05355548122274382,0,0,90.22916666666667,395.96631357070856,GZMB
GO_Biological_Process_2023,Regulation Of Dendrite Development (GO:0050773),0.01636417481806061,0.05355548122274382,0,0,67.65104166666667,278.2257868631828,LZTS1
Reactome_2022,Intrinsic Pathway For Apoptosis R-HSA-109606,0.02616122397116226,0.06030213111721138,0,0,41.59935897435897,151.56630620676899,GZMB
Reactome_2022,Signaling By ERBB2 R-HSA-1227986,0.02176375131660934,0.06030213111721138,0,0,50.32364341085271,192.6142220615362,MATK
Reactome_2022,Regulated Necrosis R-HSA-5218859,0.02713595900274512,0.06030213111721138,0,0,40.05555555555556,144.47620429223576,GZMB
KEGG_2021_Human,Type I diabetes mellitus,0.017347957387642967,0.06582288881202676,0,0,63.666666666666664,258.12252576123797,GZMB
KEGG_2021_Human,Allograft rejection,0.01636417481806061,0.06582288881202676,0,0,67.65104166666667,278.2257868631828,GZMB
KEGG_2021_Human,Glutathione metabolism,0.023231607816009442,0.06582288881202676,0,0,47.03623188405797,176.9616646175801,GSTM5
