Gene_set,Term,P-value,Adjusted P-value,Old P-value,Old adjusted P-value,Odds Ratio,Combined Score,Genes
GO_Biological_Process_2023,Regulation Of Mast Cell Degranulation (GO:0043304),0.00011635100282633126,0.01931426646917099,0,0,154.35119047619048,1398.251852648312,FGR;CD300A
Reactome_2022,TNFs Bind Their Physiological Receptors R-HSA-5669034,0.0003805596881513369,0.020930782848323528,0,0,80.4968944099379,633.8218827808952,EDARADD;TNFSF9
GO_Biological_Process_2023,Negative Regulation Of Immune Response (GO:0050777),0.0021896640522727816,0.0769179482691004,0,0,31.87807881773399,195.2215825350503,FGR;CD300A
GO_Biological_Process_2023,Regulation Of B Cell Proliferation (GO:0030888),0.0011837901235345722,0.0769179482691004,0,0,44.04931972789116,296.84986414954125,CD300A;CD320
GO_Biological_Process_2023,Cobalamin Transport (GO:0015889),0.005762271191870534,0.0769179482691004,0,0,223.61206896551724,1153.0385447050762,CD320
GO_Biological_Process_2023,Negative Regulation Of B Cell Receptor Signaling Pathway (GO:0050859),0.005762271191870534,0.0769179482691004,0,0,223.61206896551724,1153.0385447050762,CD300A
GO_Biological_Process_2023,Negative Regulation Of Myeloid Leukocyte Mediated Immunity (GO:0002887),0.005762271191870534,0.0769179482691004,0,0,223.61206896551724,1153.0385447050762,CD300A
GO_Biological_Process_2023,DNA Methylation Involved In Embryo Development (GO:0043045),0.0046123857233354324,0.0769179482691004,0,0,298.1609195402299,1603.8105813379998,ZFP57
GO_Biological_Process_2023,Regulation Of Activation Of Janus Kinase Activity (GO:0010533),0.006910873396148074,0.0769179482691004,0,0,178.88275862068966,889.8807704140276,CD300A
GO_Biological_Process_2023,Regulation Of Antigen Receptor-Mediated Signaling Pathway (GO:0050854),0.006910873396148074,0.0769179482691004,0,0,178.88275862068966,889.8807704140276,CD300A
GO_Biological_Process_2023,Regulation Of Gene Expression By Genomic Imprinting (GO:0006349),0.00805819353356309,0.0769179482691004,0,0,149.0632183908046,718.6435953916499,ZFP57
GO_Biological_Process_2023,DNA Cytosine Deamination (GO:0070383),0.00920423285950677,0.0769179482691004,0,0,127.76354679802955,598.9672370170958,APOBEC3G
GO_Biological_Process_2023,Negative Regulation Of Leukocyte Degranulation (GO:0043301),0.00920423285950677,0.0769179482691004,0,0,127.76354679802955,598.9672370170958,CD300A
GO_Biological_Process_2023,Dendrite Self-Avoidance (GO:0070593),0.00920423285950677,0.0769179482691004,0,0,127.76354679802955,598.9672370170958,PALLD
GO_Biological_Process_2023,Negative Regulation Of Alpha-Beta T Cell Activation (GO:0046636),0.00920423285950677,0.0769179482691004,0,0,127.76354679802955,598.9672370170958,CD300A
GO_Biological_Process_2023,Negative Regulation Of Leukocyte Migration (GO:0002686),0.006910873396148074,0.0769179482691004,0,0,178.88275862068966,889.8807704140276,CD300A
GO_Biological_Process_2023,"Regulation Of Phagocytosis, Engulfment (GO:0060099)",0.010348992662297414,0.0769179482691004,0,0,111.78879310344827,510.9716037863209,CD300A
GO_Biological_Process_2023,Negative Regulation Of B Cell Proliferation (GO:0030889),0.011492474255947342,0.0769179482691004,0,0,99.3639846743295,443.76580260510195,CD300A
GO_Biological_Process_2023,Cytidine To Uridine Editing (GO:0016554),0.011492474255947342,0.0769179482691004,0,0,99.3639846743295,443.76580260510195,APOBEC3G
GO_Biological_Process_2023,Positive Regulation Of Mitochondrial Outer Membrane Permeabilization Involved In Apoptotic Signaling Pathway (GO:1901030),0.011492474255947342,0.0769179482691004,0,0,99.3639846743295,443.76580260510195,GZMB
