Gene_set,Term,P-value,Adjusted P-value,Old P-value,Old adjusted P-value,Odds Ratio,Combined Score,Genes
Reactome_2022,Defective Factor IX Causes Hemophilia B R-HSA-9668250,0.003767431272112321,0.026372018904786246,0,0,332.7307692307692,1857.0908283390797,ZNF160
Reactome_2022,Defective F9 Activation R-HSA-9673221,0.0021544280068260886,0.026372018904786246,0,0,665.5384615384615,4086.5592388233977,ZNF160
GO_Biological_Process_2023,Regulation Of Lysosomal Protein Catabolic Process (GO:1905165),0.002692364556170427,0.02799361329986481,0,0,499.13461538461536,2953.5469560907673,LAPTM4B
GO_Biological_Process_2023,Regulation Of Lysosome Organization (GO:1905671),0.002692364556170427,0.02799361329986481,0,0,499.13461538461536,2953.5469560907673,LAPTM4B
GO_Biological_Process_2023,Regulation Of Transforming Growth Factor Beta1 Production (GO:0032908),0.003230032303830555,0.02799361329986481,0,0,399.2923076923077,2290.046454637459,LAPTM4B
GO_Biological_Process_2023,"RNA Phosphodiester Bond Hydrolysis, Endonucleolytic (GO:0090502)",0.007521704577253322,0.029925837664122105,0,0,153.52662721893492,750.7394489615597,ZC3H12B
GO_Biological_Process_2023,Lysosomal Membrane Organization (GO:0097212),0.005914340699916155,0.029925837664122105,0,0,199.6076923076923,1024.0623643573617,LAPTM4B
GO_Biological_Process_2023,Negative Regulation Of Transforming Growth Factor Beta Production (GO:0071635),0.004841423111166237,0.029925837664122105,0,0,249.52884615384616,1330.125135041233,LAPTM4B
GO_Biological_Process_2023,Regulation Of Vacuole Organization (GO:0044088),0.00805695629418672,0.029925837664122105,0,0,142.55494505494505,687.2886701971105,LAPTM4B
Reactome_2022,Defects Of Contact Activation System (CAS) And Kallikrein/Kinin System (KKS) R-HSA-9651496,0.007521704577253322,0.03194329612750015,0,0,153.52662721893492,750.7394489615597,ZNF160
Reactome_2022,Intrinsic Pathway Of Fibrin Clot Formation R-HSA-140837,0.009126656036428616,0.03194329612750015,0,0,124.72596153846153,585.7824521101342,ZNF160
GO_Biological_Process_2023,Endosome Transport Via Multivesicular Body Sorting Pathway (GO:0032509),0.011796222575245315,0.035618076147344926,0,0,95.01098901098901,421.84650329686247,LAPTM4B
GO_Biological_Process_2023,Multivesicular Body Sorting Pathway (GO:0071985),0.012329334051004014,0.035618076147344926,0,0,90.68881118881119,398.6475159319695,LAPTM4B
GO_Biological_Process_2023,RNA Phosphodiester Bond Hydrolysis (GO:0090501),0.01392706696583805,0.03621037411117893,0,0,79.79692307692308,341.04575074604026,ZC3H12B
GO_Biological_Process_2023,Regulation Of Cell Morphogenesis (GO:0022604),0.015522400120517463,0.03668930937576855,0,0,71.23901098901099,296.74404355055805,ZNF135
Reactome_2022,Formation Of Fibrin Clot (Clotting Cascade) R-HSA-140877,0.01392706696583805,0.03899578750434654,0,0,79.79692307692308,341.04575074604026,ZNF160
KEGG_2021_Human,Herpes simplex virus 1 infection,0.02514461365941513,0.05028922731883026,0,0,9.198051948051948,33.877451587989874,ZNF160;ZNF135
GO_Biological_Process_2023,Endosome Organization (GO:0007032),0.0255706595996126,0.05540309579916063,0,0,42.40916530278233,155.4851338713499,LAPTM4B
KEGG_2021_Human,Lysosome,0.06279049095664319,0.06279049095664319,0,0,16.703296703296704,46.23391741745307,LAPTM4B
GO_Biological_Process_2023,Adenylate Cyclase-Activating G Protein-Coupled Receptor Signaling Pathway (GO:0007189),0.035002146614578906,0.07000429322915781,0,0,30.64378698224852,102.72857326823508,ADGRE1
GO_Biological_Process_2023,Cytoskeleton Organization (GO:0007010),0.050533148558263206,0.07756252377722303,0,0,20.94251012145749,62.51602625303952,ZNF135
GO_Biological_Process_2023,Adenylate Cyclase-Modulating G Protein-Coupled Receptor Signaling Pathway (GO:0007188),0.05258632171282011,0.07756252377722303,0,0,20.093240093240095,59.180604706197784,ADGRE1
GO_Biological_Process_2023,Vesicle Organization (GO:0016050),0.044865599284965356,0.07756252377722303,0,0,23.695054945054945,73.55143953143961,LAPTM4B
GO_Biological_Process_2023,Hemopoiesis (GO:0030097),0.047445640961619524,0.07756252377722303,0,0,22.359550561797754,68.15572519001785,ZNF160
GO_Biological_Process_2023,Regulation Of Anatomical Structure Morphogenesis (GO:0022603),0.05668030583720145,0.07756252377722303,0,0,18.585190510424155,53.34560141116066,ZNF135
GO_Biological_Process_2023,Small GTPase Mediated Signal Transduction (GO:0007264),0.05412349526518604,0.07756252377722303,0,0,19.5,56.87149443594545,RALGPS2
Reactome_2022,Class B/2 (Secretin Family Receptors) R-HSA-373080,0.034480406856744285,0.08045428266573668,0,0,31.123798076923077,104.80515822911063,ADGRE1
GO_Biological_Process_2023,Ras Protein Signal Transduction (GO:0007265),0.06785421735276762,0.0882104825585979,0,0,15.402504472271914,41.43880157599139,RALGPS2
GO_Biological_Process_2023,Positive Regulation Of Hydrolase Activity (GO:0051345),0.07490076452311747,0.09273427988576449,0,0,13.887036040882196,35.989520137387615,RALGPS2
GO_Biological_Process_2023,Endosomal Transport (GO:0016197),0.08438483894633464,0.09972753693657731,0,0,12.249287749287749,30.28474125842335,LAPTM4B
