Gene_set,Term,P-value,Adjusted P-value,Old P-value,Old adjusted P-value,Odds Ratio,Combined Score,Genes
Reactome_2022,Signal Transduction R-HSA-162582,2.2843049142894933e-13,1.2061129947448524e-10,0,0,3.368521254830643,98.04938207461323,GPR27;DOCK5;PTGDR2;FLT3;RGSL1;FASLG;TNF;ADRA1A;SPRED2;CCND1;EFHD2;PROK2;TNS4;TNS3;CMKLR1;PDGFRB;DUSP2;MEF2C;EDN3;F2R;MATK;SOX13;TAS2R13;ATP1B4;GPBAR1;MMP9;LATS2;GFOD1;CDC42EP4;XCL2;XCL1;CX3CR1;MRLN;DHH;ADRB2;HDAC9;CXCR1;P2RY2;PDGFD;CCL4;CXCR2;PLCG2;NLRP3;STOM;NCAM1;EVC2;LYN;NTRK1;JAG2;CENPU;JAG1;LAMB3;GZMB;ADCY10;DHRS9;DLG5;ID1;CENPM;NMUR1;PIK3AP1
Reactome_2022,Class A/1 (Rhodopsin-like Receptors) R-HSA-373076,1.2862181366581134e-12,3.395615880777419e-10,0,0,10.77038807649044,294.8858465297636,CX3CR1;MRLN;EDN3;PTGDR2;F2R;GPBAR1;ADRB2;ADRA1A;CXCR1;P2RY2;CCL4;CXCR2;XCL2;NLRP3;PROK2;XCL1;NMUR1;CMKLR1
Reactome_2022,GPCR Ligand Binding R-HSA-500792,1.2528322526976559e-11,2.2049847647478745e-09,0,0,7.982934939456679,200.3958491464944,CX3CR1;MRLN;EDN3;PTGDR2;DHH;F2R;TAS2R13;GPBAR1;ADRB2;ADRA1A;CXCR1;P2RY2;CCL4;CXCR2;XCL2;NLRP3;PROK2;XCL1;NMUR1;CMKLR1
Reactome_2022,Immune System R-HSA-168256,6.201993282727866e-11,8.186631133200782e-09,0,0,3.240627472962279,76.16629937623026,IFITM3;CIITA;ITGAM;FRMPD3;FLT3;FASLG;MPO;TNF;C4B;CCND1;GNLY;NAPRT;FCER1A;TNFSF11;MAP3K8;EDARADD;NANOS1;MEF2C;TNFRSF12A;CD300A;MMP9;FGR;SLC7A8;HECW2;FSCN1;KLRF1;TLR6;HLA-DQB2;PLD4;LILRA4;KLRK1;CXCR1;CCL4;CXCR2;PLCG2;NLRP3;STOM;NCAM1;HLA-DQA1;LYN;KLRC2;SIGLEC10;SH2D1B;LILRB1;P2RX1;SLCO4C1;TNFSF9;PIK3AP1;CD68
Reactome_2022,Peptide Ligand-Binding Receptors R-HSA-375276,2.3817209604652453e-09,2.515097334251299e-07,0,0,11.815846153846154,234.60885410846856,CX3CR1;MRLN;EDN3;CXCR1;CXCR2;F2R;CCL4;XCL2;PROK2;NLRP3;XCL1;NMUR1
Reactome_2022,Signaling By GPCR R-HSA-372790,8.109772963162312e-09,7.136600207582834e-07,0,0,4.871842105263158,90.76337312617738,GPR27;CX3CR1;MRLN;EDN3;PTGDR2;DHH;RGSL1;F2R;TAS2R13;GPBAR1;ADRB2;ADRA1A;CXCR1;P2RY2;CCL4;CXCR2;XCL2;NLRP3;PROK2;XCL1;NMUR1;CMKLR1
Reactome_2022,GPCR Downstream Signaling R-HSA-388396,3.598002585746579e-08,2.7139219503917055e-06,0,0,4.871513330251195,83.49920914050574,GPR27;CX3CR1;MRLN;EDN3;PTGDR2;RGSL1;F2R;TAS2R13;GPBAR1;ADRB2;ADRA1A;CXCR1;P2RY2;CCL4;CXCR2;XCL2;NLRP3;PROK2;XCL1;NMUR1
KEGG_2021_Human,MAPK signaling pathway,7.407852955621632e-08,1.6110419075036737e-05,0,0,6.297813757172063,103.3983885650809,NTRK1;PDGFRB;PLA2G4F;DUSP2;MEF2C;GADD45B;FLT3;PLA2G4C;FASLG;HSPA2;TNF;GADD45G;EFNA3;PDGFD;MAP3K8
KEGG_2021_Human,Natural killer cell mediated cytotoxicity,1.4780200986272235e-07,1.6110419075036737e-05,0,0,10.397515023550431,163.52579699264174,FCGR3A;KLRK1;KLRC2;KLRC4-KLRK1;PLCG2;SH2D1B;GZMB;FASLG;TNF;CD244
Reactome_2022,G Alpha (Q) Signaling Events R-HSA-416476,5.23028482041654e-07,3.217804486267967e-05,0,0,7.8070131600866235,112.91774909210092,MRLN;EDN3;RGSL1;P2RY2;F2R;XCL2;PROK2;NLRP3;XCL1;NMUR1;ADRA1A
