Gene_set,Term,P-value,Adjusted P-value,Old P-value,Old adjusted P-value,Odds Ratio,Combined Score,Genes
Reactome_2022,Class A/1 (Rhodopsin-like Receptors) R-HSA-373076,3.5465758317399804e-09,1.8725920391587097e-06,0,0,6.483830146231721,126.15771972203817,CX3CR1;MRLN;EDN3;PTGDR2;F2R;GPBAR1;ADRB2;ADRA1A;CXCR1;P2RY2;CCL4;CXCR2;XCL2;NLRP3;PROK2;XCL1;NMUR1;CMKLR1
Reactome_2022,GPCR Ligand Binding R-HSA-500792,5.5808586967309714e-08,1.4733466959369764e-05,0,0,4.795156534286969,80.08553047885337,CX3CR1;MRLN;EDN3;PTGDR2;DHH;F2R;TAS2R13;GPBAR1;ADRB2;ADRA1A;CXCR1;P2RY2;CCL4;CXCR2;XCL2;NLRP3;PROK2;XCL1;NMUR1;CMKLR1
Reactome_2022,Peptide Ligand-Binding Receptors R-HSA-375276,5.056334270570338e-07,8.899148316203796e-05,0,0,7.125692307692308,103.3043956127793,CX3CR1;MRLN;EDN3;CXCR1;CXCR2;F2R;CCL4;XCL2;PROK2;NLRP3;XCL1;NMUR1
KEGG_2021_Human,Natural killer cell mediated cytotoxicity,1.1121237899117976e-05,0.0024244298620077188,0,0,6.339161126159403,72.30861732141821,FCGR3A;KLRK1;KLRC2;KLRC4-KLRK1;PLCG2;SH2D1B;GZMB;FASLG;TNF;CD244
Reactome_2022,Signal Transduction R-HSA-162582,2.098215818200688e-05,0.0027696448800249083,0,0,1.9247272107297113,20.73284988475628,GPR27;DOCK5;PTGDR2;FLT3;RGSL1;FASLG;TNF;ADRA1A;SPRED2;CCND1;EFHD2;PROK2;TNS4;TNS3;CMKLR1;PDGFRB;DUSP2;MEF2C;EDN3;F2R;MATK;SOX13;TAS2R13;ATP1B4;GPBAR1;MMP9;LATS2;GFOD1;CDC42EP4;XCL2;XCL1;CX3CR1;MRLN;DHH;ADRB2;HDAC9;CXCR1;P2RY2;PDGFD;CCL4;CXCR2;PLCG2;NLRP3;STOM;NCAM1;EVC2;LYN;NTRK1;JAG2;CENPU;JAG1;LAMB3;GZMB;ADCY10;DHRS9;DLG5;ID1;CENPM;NMUR1;PIK3AP1
Reactome_2022,Signaling By GPCR R-HSA-372790,2.8526343041696243e-05,0.003012381825203123,0,0,2.9107543859649123,30.460120718499834,GPR27;CX3CR1;MRLN;EDN3;PTGDR2;DHH;RGSL1;F2R;TAS2R13;GPBAR1;ADRB2;ADRA1A;CXCR1;P2RY2;CCL4;CXCR2;XCL2;NLRP3;PROK2;XCL1;NMUR1;CMKLR1
KEGG_2021_Human,MAPK signaling pathway,3.064337236628727e-05,0.0033401275879253126,0,0,3.784623755193563,39.33395102888037,NTRK1;PDGFRB;PLA2G4F;DUSP2;MEF2C;GADD45B;FLT3;PLA2G4C;FASLG;HSPA2;TNF;GADD45G;EFNA3;PDGFD;MAP3K8
KEGG_2021_Human,Transcriptional misregulation in cancer,4.7817504858588156e-05,0.0034747386863907396,0,0,4.773298399819698,47.485339430280945,NTRK1;CEBPA;MEF2C;ITGAM;GADD45B;FLT3;GZMB;DEFA1;MPO;MMP9;GADD45G
Reactome_2022,Chemokine Receptors Bind Chemokines R-HSA-380108,5.760309735266043e-05,0.00403508116149627,0,0,10.286377708978328,100.4149425388571,CX3CR1;CXCR1;CCL4;CXCR2;XCL2;XCL1
Reactome_2022,GPCR Downstream Signaling R-HSA-388396,6.113759335600408e-05,0.00403508116149627,0,0,2.9139697950377563,28.27245276517651,GPR27;CX3CR1;MRLN;EDN3;PTGDR2;RGSL1;F2R;TAS2R13;GPBAR1;ADRB2;ADRA1A;CXCR1;P2RY2;CCL4;CXCR2;XCL2;NLRP3;PROK2;XCL1;NMUR1
Reactome_2022,G Alpha (Q) Signaling Events R-HSA-416476,5.4113584237245424e-05,0.00403508116149627,0,0,4.703509356432894,46.209276360917585,MRLN;EDN3;RGSL1;P2RY2;F2R;XCL2;PROK2;NLRP3;XCL1;NMUR1;ADRA1A
GO_Biological_Process_2023,Positive Regulation Of Phosphatidylinositol 3-Kinase Signaling (GO:0014068),4.183973578905758e-06,0.006874268590142161,0,0,9.988394584139265,123.69876709868423,PDGFRB;FGR;NTRK1;FLT3;PDGFD;F2R;PIK3AP1;TNF
GO_Biological_Process_2023,Inflammatory Response (GO:0006954),1.3625932039871098e-05,0.007462468780502738,0,0,4.648299762757594,52.07739286235108,CIITA;F2R;PLA2G4C;TNF;HDAC9;CXCR2;CCL4;XCL2;PROK2;NLRP3;XCL1;TLR6;CMKLR1
GO_Biological_Process_2023,Cellular Response To Lipopolysaccharide (GO:0071222),1.0193961284578888e-05,0.007462468780502738,0,0,6.4084799203451706,73.65724206911254,LYN;CX3CR1;MEF2C;PLCG2;NLRP3;LILRB1;DEFA1;CD68;TNF;NUGGC
