,betweenness,degree,closeness,eigenvector
FCGR3A,0.5974395448079659,5,0.36538461538461536,0.13278469265407436
LYN,0.5896159317211949,8,0.3584905660377358,0.022166398562937572
PLCG2,0.5739687055476529,7,0.38,0.05716508038155935
CXCR1,0.3741109530583215,7,0.3089430894308943,0.4627300338454353
FASLG,0.205547652916074,3,0.2878787878787879,0.005569200990568561
TNF,0.155049786628734,5,0.2375,0.0017720912761028215
ITGA2,0.15220483641536273,3,0.2773722627737226,0.005186214429502855
NCAM1,0.15220483641536273,3,0.2814814814814815,0.03105878454530373
CXCR2,0.10336652441915599,7,0.25333333333333335,0.41698535417438576
GNAI1,0.053105737316263626,3,0.20765027322404372,0.18124106711361393
LAMB3,0.052631578947368425,2,0.22093023255813954,0.001153491678093327
LILRA4,0.052631578947368425,2,0.2733812949640288,0.02952334329060228
SPTBN5,0.052631578947368425,2,0.2235294117647059,0.006905677086139404
CX3CR1,0.050734945471787585,6,0.25,0.39818916036001106
MATK,0.044096728307254626,2,0.2773722627737226,0.005013399588738379
GZMB,0.022048364153627313,2,0.2695035460992908,0.005192746662560754
KLRK1,0.01209103840682788,3,0.31932773109243695,0.04493365482826951
NTRK1,0.005689900426742532,2,0.23170731707317074,0.0014411960777074167
GNLY,0.0035561877667140826,2,0.2275449101796407,0.0022856563779293584
XCL1,0.000474158368895211,4,0.24675324675324675,0.34444440322181274
XCL2,0.000474158368895211,4,0.24675324675324675,0.34444440322181274
CCL3L1,0.000474158368895211,3,0.24516129032258063,0.2713146951674385
CCL4,0.000474158368895211,3,0.24516129032258063,0.2713146951674385
CD244,0.0,2,0.27941176470588236,0.015410311537667233
GAB3,0.0,2,0.3140495867768595,0.01684531832233926
KLRC2,0.0,2,0.27941176470588236,0.021678664613855394
SH2D1B,0.0,2,0.27941176470588236,0.015410311537667233
TNFRSF12A,0.0,2,0.19387755102040816,0.00047802844990436964
TNFSF11,0.0,2,0.19387755102040816,0.00047802844990436964
ADRA1A,0.0,1,0.20320855614973263,0.08853101917049282
CADM1,0.0,1,0.22093023255813954,0.006594363996464717
CD151,0.0,1,0.18181818181818182,0.0002450044110228308
FCER1A,0.0,1,0.2159090909090909,0.006268353076188158
FGR,0.0,1,0.26573426573426573,0.004707263532441036
ITGAM,0.0,1,0.21839080459770116,0.001101445577874685
KCNQ2,0.0,1,0.18357487922705315,0.0014662202137956735
RGS9,0.0,1,0.17272727272727273,0.03847964400295451
SKAP2,0.0,1,0.26573426573426573,0.004707263532441036
TNFSF9,0.0,1,0.19289340101522842,0.00037645432800780725
