,degree,betweenness,closeness_LCC,eigenvector_LCC
H2AC12,4,0.0,1.0,0.447213595499958
H2AC13,4,0.0,1.0,0.447213595499958
H2AC18,4,0.0,1.0,0.447213595499958
H2BC17,4,0.0,1.0,0.447213595499958
H2BC5,4,0.0,1.0,0.447213595499958
ADGRE1,0,0.0,0.0,0.0
APOBEC3G,0,0.0,0.0,0.0
ASCL2,0,0.0,0.0,0.0
CACHD1,0,0.0,0.0,0.0
CD300A,0,0.0,0.0,0.0
CD320,0,0.0,0.0,0.0
CSKMT,0,0.0,0.0,0.0
DSC1,0,0.0,0.0,0.0
EDARADD,0,0.0,0.0,0.0
EFHD2,0,0.0,0.0,0.0
FGR,0,0.0,0.0,0.0
GPR141,0,0.0,0.0,0.0
GZMB,0,0.0,0.0,0.0
LAPTM4B,0,0.0,0.0,0.0
LZTS1,0,0.0,0.0,0.0
PALLD,0,0.0,0.0,0.0
PTPN7,0,0.0,0.0,0.0
RALGPS2,0,0.0,0.0,0.0
RGS3,0,0.0,0.0,0.0
STAP1,0,0.0,0.0,0.0
TNFSF9,0,0.0,0.0,0.0
U2AF1L5,0,0.0,0.0,0.0
ZC3H12B,0,0.0,0.0,0.0
ZFP57,0,0.0,0.0,0.0
ZNF135,0,0.0,0.0,0.0
ZNF160,0,0.0,0.0,0.0
