drug,targets,mapped,in_module,d_closest,null_mean,null_sd,z,status,analysis
Betaferon,2,2,-,2.0,2.056,0.331,-0.17,not significant,"main: betweenness disease module (top-15), reference interactome >=400"
Tecfidera,2,2,-,1.5,1.792,0.317,-0.92,not significant,"main: betweenness disease module (top-15), reference interactome >=400"
Ocrevus,1,1,-,2.0,2.527,0.563,-0.94,not significant,"main: betweenness disease module (top-15), reference interactome >=400"
Betaferon,2,2,-,2.0,2.108,0.329,-0.33,not significant,"sensitivity: disease module top-10, >=400"
Tecfidera,2,2,-,1.5,1.822,0.326,-0.99,not significant,"sensitivity: disease module top-10, >=400"
Ocrevus,1,1,-,2.0,2.522,0.556,-0.94,not significant,"sensitivity: disease module top-10, >=400"
Betaferon,2,2,-,2.0,2.498,0.497,-1.0,not significant,"sensitivity: disease module top-15, >=700"
Tecfidera,2,2,-,1.5,2.006,0.394,-1.29,not significant,"sensitivity: disease module top-15, >=700"
Ocrevus,1,1,-,2.0,3.556,1.069,-1.46,not significant,"sensitivity: disease module top-15, >=700"
Betaferon,2,2,-,2.0,2.584,0.511,-1.14,not significant,"sensitivity: disease module top-10, >=700"
Tecfidera,2,2,-,1.5,2.027,0.424,-1.25,not significant,"sensitivity: disease module top-10, >=700"
Ocrevus,1,1,-,2.0,3.707,1.042,-1.64,not significant,"sensitivity: disease module top-10, >=700"
Betaferon,2,2,-,3.0,2.252,0.422,1.77,not significant,"diagnostic: FDR-connected core (5-node histone clique), >=400"
Tecfidera,2,2,-,2.0,1.884,0.369,0.32,not significant,"diagnostic: FDR-connected core (5-node histone clique), >=400"
Ocrevus,1,1,-,3.0,2.699,0.575,0.52,not significant,"diagnostic: FDR-connected core (5-node histone clique), >=400"
