gene	log2FC	padj	degree	betweenness	closeness	eigenvector	centrality_score	community	is_disease_module	drug_target_for
TNFRSF12A	-1.766	0.348	2	0.0	0.1939	0.0005	0.2212	3	False	
ITGA2	0.772	0.518	3	0.1522	0.2774	0.0052	0.6474	4	True	
KLRK1	-1.343	0.134	3	0.0121	0.3193	0.0449	0.7308	1	True	
KLRC2	-3.652	NA	2	0.0	0.2794	0.0217	0.5032	1	False	
SH2D1B	-1.393	0.81	2	0.0	0.2794	0.0154	0.4872	1	False	
MATK	-1.146	0.0816	2	0.0441	0.2774	0.005	0.5288	5	False	
CD244	-0.678	0.733	2	0.0	0.2794	0.0154	0.4872	1	False	
FCER1A	-2.685	0.412	1	0.0	0.2159	0.0063	0.2564	2	False	
TNFSF9	-1.999	0.0492	1	0.0	0.1929	0.0004	0.1282	3	False	
FASLG	-1.127	0.235	3	0.2055	0.2879	0.0056	0.7115	3	True	
CADM1	-1.221	0.101	1	0.0	0.2209	0.0066	0.2788	2	False	
ITGAM	-0.968	0.239	1	0.0	0.2184	0.0011	0.1859	4	False	
GAB3	-0.602	0.573	2	0.0	0.314	0.0168	0.5288	1	False	
CCL4	-1.475	0.413	3	0.0005	0.2452	0.2713	0.6186	0	True	
CXCR2	-1.196	0.728	7	0.1034	0.2533	0.417	0.8205	0	True	
PLCG2	-0.858	0.56	7	0.574	0.38	0.0572	0.9103	1	True	
FGR	-1.565	0.000593	1	0.0	0.2657	0.0047	0.3141	1	False	
CXCR1	-1.337	0.651	7	0.3741	0.3089	0.4627	0.9359	0	True	
KCNQ2	1.816	0.798	1	0.0	0.1836	0.0015	0.1603	2	False	
RGS9	-0.691	0.266	1	0.0	0.1727	0.0385	0.2692	0	False	
LYN	-0.816	0.388	8	0.5896	0.3585	0.0222	0.8846	1	True	
GNLY	-1.826	0.801	2	0.0036	0.2275	0.0023	0.3974	3	False	
XCL1	-2.237	0.737	4	0.0005	0.2468	0.3444	0.6731	0	True	
LILRA4	-3.758	NA	2	0.0526	0.2734	0.0295	0.6154	2	False	
CCL3L1	0.0	NA	3	0.0005	0.2452	0.2713	0.6186	0	True	
CX3CR1	-1.822	0.624	6	0.0507	0.25	0.3982	0.7628	0	True	
CD151	-0.6	0.136	1	0.0	0.1818	0.0002	0.109	4	False	
NCAM1	-1.314	0.707	3	0.1522	0.2815	0.0311	0.7532	2	True	
TNFSF11	-1.157	0.798	2	0.0	0.1939	0.0005	0.2212	3	False	
TNF	-0.73	0.394	5	0.155	0.2375	0.0018	0.5929	3	False	
XCL2	-3.691	0.151	4	0.0005	0.2468	0.3444	0.6731	0	True	
GZMB	-2.182	0.00142	2	0.022	0.2695	0.0052	0.5192	3	False	
LAMB3	-1.164	0.488	2	0.0526	0.2209	0.0012	0.4006	4	False	
ADRA1A	-0.645	0.718	1	0.0	0.2032	0.0885	0.3269	0	False	
GNAI1	1.216	0.0917	3	0.0531	0.2077	0.1812	0.6218	0	True	
FCGR3A	-0.771	0.79	5	0.5974	0.3654	0.1328	0.9071	2	True	
NTRK1	-1.338	0.631	2	0.0057	0.2317	0.0014	0.391	5	False	
SKAP2	-0.657	0.102	1	0.0	0.2657	0.0047	0.3141	1	False	
SPTBN5	0.707	0.563	2	0.0526	0.2235	0.0069	0.4936	2	False	
