stringId_A	stringId_B	preferredName_A	preferredName_B	ncbiTaxonId	score	nscore	fscore	pscore	ascore	escore	dscore	tscore
9606.ENSP00000201586	9606.ENSP00000353600	SULT2B1	SULT1A4	9606	0.518	0	0	0	0	0.478	0.0	0.116
9606.ENSP00000215980	9606.ENSP00000244537	CENPM	H4C6	9606	0.895	0	0	0	0	0.8	0.5	0.0
9606.ENSP00000216341	9606.ENSP00000398568	GZMB	PRF1	9606	0.986	0	0	0	0	0.292	0.0	0.982
9606.ENSP00000219271	9606.ENSP00000262768	MMP15	TIMP2	9606	0.403	0	0	0	0	0.342	0.0	0.13
9606.ENSP00000222553	9606.ENSP00000349967	NAMPT	CCRL2	9606	0.569	0	0	0	0	0.0	0.0	0.569
9606.ENSP00000227507	9606.ENSP00000360269	CCND1	TACSTD2	9606	0.412	0	0	0	0	0.0	0.0	0.413
9606.ENSP00000229135	9606.ENSP00000254301	IFNG	LGALS3	9606	0.631	0	0	0	0	0.0	0.0	0.631
9606.ENSP00000229135	9606.ENSP00000263341	IFNG	IL1B	9606	0.901	0	0	0	0	0.0	0.0	0.901
9606.ENSP00000229829	9606.ENSP00000364114	HLA-DOA	HLA-DRB5	9606	0.559	0	0	0	0	0.081	0.54	0.0
9606.ENSP00000229829	9606.ENSP00000379873	HLA-DOA	HLA-A	9606	0.9	0	0	0	0	0.0	0.9	0.0
9606.ENSP00000234389	9606.ENSP00000465103	GRIN3B	MXRA7	9606	0.551	0	0	0	0	0.551	0.0	0.0
9606.ENSP00000234389	9606.ENSP00000397026	GRIN3B	GRIK2	9606	0.551	0	0	0	0	0.0	0.54	0.065
9606.ENSP00000240618	9606.ENSP00000360916	KLRK1	VAV2	9606	0.499	0	0	0	0	0.0	0.5	0.0
9606.ENSP00000240618	9606.ENSP00000289902	KLRK1	FCER1G	9606	0.524	0	0	0	0	0.0	0.0	0.524
9606.ENSP00000240618	9606.ENSP00000338130	KLRK1	KLRD1	9606	0.777	0	0	0	0	0.0	0.4	0.644
9606.ENSP00000241125	9606.ENSP00000467201	GJA3	GJC1	9606	0.631	0	0	0	0	0.168	0.54	0.115
9606.ENSP00000244537	9606.ENSP00000291552	H4C6	U2AF1	9606	0.457	0	0	0	0	0.457	0.0	0.0
9606.ENSP00000244537	9606.ENSP00000356331	H4C6	NR5A2	9606	0.499	0	0	0	0	0.0	0.5	0.0
9606.ENSP00000244537	9606.ENSP00000445831	H4C6	H2BC18	9606	0.93	0	0	0	0	0.832	0.4	0.361
9606.ENSP00000244537	9606.ENSP00000366679	H4C6	H2AC12	9606	0.949	0	0	0	0	0.915	0.4	0.081
9606.ENSP00000244537	9606.ENSP00000328484	H4C6	H2AC14	9606	0.949	0	0	0	0	0.915	0.4	0.081
9606.ENSP00000244537	9606.ENSP00000289316	H4C6	H2BC5	9606	0.953	0	0	0	0	0.89	0.4	0.349
9606.ENSP00000244537	9606.ENSP00000351589	H4C6	H2AC13	9606	0.957	0	0	0	0	0.928	0.4	0.081
9606.ENSP00000244537	9606.ENSP00000332790	H4C6	H2AC21	9606	0.963	0	0	0	0	0.939	0.4	0.081
9606.ENSP00000244537	9606.ENSP00000477527	H4C6	H2BC17	9606	0.97	0	0	0	0	0.929	0.4	0.358
9606.ENSP00000244537	9606.ENSP00000482674	H4C6	H2BC3	9606	0.977	0	0	0	0	0.945	0.4	0.358
9606.ENSP00000244537	9606.ENSP00000476136	H4C6	H2BC11	9606	0.977	0	0	0	0	0.929	0.54	0.357
9606.ENSP00000244537	9606.ENSP00000477907	H4C6	H2BC14	9606	0.984	0	0	0	0	0.939	0.4	0.59
9606.ENSP00000244537	9606.ENSP00000349430	H4C6	H2BC12	9606	0.99	0	0	0	0	0.945	0.4	0.735
9606.ENSP00000244537	9606.ENSP00000303373	H4C6	H2AC8	9606	0.995	0	0	0	0	0.968	0.54	0.721
9606.ENSP00000244537	9606.ENSP00000352252	H4C6	H3C12	9606	0.999	0	0	0	0	0.965	0.8	0.97
9606.ENSP00000244537	9606.ENSP00000333277	H4C6	H3C13	9606	0.999	0	0	0	0	0.965	0.8	0.967
9606.ENSP00000254301	9606.ENSP00000474412	LGALS3	CCL5	9606	0.57	0	0	0	0	0.0	0.0	0.57
9606.ENSP00000254301	9606.ENSP00000331831	LGALS3	GAS6	9606	0.643	0	0	0	0	0.0	0.0	0.643
9606.ENSP00000254301	9606.ENSP00000295408	LGALS3	MERTK	9606	0.85	0	0	0	0	0.0	0.0	0.85
9606.ENSP00000254301	9606.ENSP00000308782	LGALS3	GP6	9606	0.968	0	0	0	0	0.0	0.0	0.968
9606.ENSP00000256593	9606.ENSP00000311469	GSTM5	GSTM1	9606	0.796	0	0	0	0	0.61	0.5	0.0
9606.ENSP00000257818	9606.ENSP00000345681	LMO2	GATA2	9606	0.992	0	0	0	0	0.292	0.5	0.981
9606.ENSP00000260950	9606.ENSP00000483552	MSTN	FURIN	9606	0.457	0	0	0	0	0.457	0.0	0.0
9606.ENSP00000261503	9606.ENSP00000401437	SPECC1	LDB3	9606	0.54	0	0	0	0	0.0	0.54	0.0
9606.ENSP00000261693	9606.ENSP00000361359	SCARB1	CD40	9606	0.41	0	0	0	0	0.0	0.0	0.411
9606.ENSP00000262406	9606.ENSP00000497260	RGS9	GNAI1	9606	0.598	0	0	0	0	0.164	0.5	0.116
9606.ENSP00000263341	9606.ENSP00000280357	IL1B	IL18	9606	0.484	0	0	0	0	0.312	0.0	0.281
9606.ENSP00000263341	9606.ENSP00000361359	IL1B	CD40	9606	0.637	0	0	0	0	0.0	0.0	0.637
9606.ENSP00000264187	9606.ENSP00000278407	NID1	SERPING1	9606	0.41	0	0	0	0	0.0	0.0	0.41
9606.ENSP00000264690	9606.ENSP00000356771	KLKB1	F5	9606	0.54	0	0	0	0	0.0	0.54	0.0
9606.ENSP00000264690	9606.ENSP00000321853	KLKB1	SERPINF2	9606	0.617	0	0	0	0	0.0	0.0	0.617
9606.ENSP00000264690	9606.ENSP00000278407	KLKB1	SERPING1	9606	0.972	0	0	0	0	0.0	0.7	0.913
9606.ENSP00000265709	9606.ENSP00000494684	ANK1	TMC1	9606	0.404	0	0	0	0	0.0	0.0	0.404
9606.ENSP00000265709	9606.ENSP00000352035	ANK1	KCNQ2	9606	0.502	0	0	0	0	0.0	0.5	0.046
9606.ENSP00000265709	9606.ENSP00000421180	ANK1	MAML3	9606	0.519	0	0	0	0	0.0	0.0	0.519
9606.ENSP00000289316	9606.ENSP00000476136	H2BC5	H2BC11	9606	0.4	0	0	0	0	0.0	0.4	0.0
9606.ENSP00000289316	9606.ENSP00000349430	H2BC5	H2BC12	9606	0.4	0	0	0	0	0.0	0.4	0.0
9606.ENSP00000289316	9606.ENSP00000328484	H2BC5	H2AC14	9606	0.439	0	0	0	0	0.072	0.4	0.074
9606.ENSP00000289316	9606.ENSP00000366679	H2BC5	H2AC12	9606	0.439	0	0	0	0	0.072	0.4	0.074
9606.ENSP00000289316	9606.ENSP00000356331	H2BC5	NR5A2	9606	0.499	0	0	0	0	0.0	0.5	0.0
