stringId_A	stringId_B	preferredName_A	preferredName_B	ncbiTaxonId	score	nscore	fscore	pscore	ascore	escore	dscore	tscore
9606.ENSP00000005587	9606.ENSP00000428924	SKAP2	LYN	9606	0.457	0	0	0	0	0.457	0.0	0.0
9606.ENSP00000216341	9606.ENSP00000428924	GZMB	LYN	9606	0.556	0	0	0	0	0.0	0.0	0.556
9606.ENSP00000216341	9606.ENSP00000436423	GZMB	GNLY	9606	0.812	0	0	0	0	0.0	0.0	0.812
9606.ENSP00000240618	9606.ENSP00000482457	KLRK1	PLCG2	9606	0.499	0	0	0	0	0.0	0.5	0.0
9606.ENSP00000240618	9606.ENSP00000356946	KLRK1	FCGR3A	9606	0.613	0	0	0	0	0.0	0.0	0.613
9606.ENSP00000240618	9606.ENSP00000371327	KLRK1	KLRC2	9606	0.719	0	0	0	0	0.0	0.4	0.551
9606.ENSP00000245817	9606.ENSP00000398698	TNFSF9	TNF	9606	0.578	0	0	0	0	0.23	0.0	0.475
9606.ENSP00000262406	9606.ENSP00000497260	RGS9	GNAI1	9606	0.598	0	0	0	0	0.164	0.5	0.116
9606.ENSP00000270139	9606.ENSP00000343957	IFNAR1	IFNAR2	9606	0.999	0	0	0	0	0.886	0.9	0.983
9606.ENSP00000291759	9606.ENSP00000357097	LILRA4	FCER1A	9606	0.447	0	0	0	0	0.0	0.0	0.447
9606.ENSP00000291759	9606.ENSP00000356946	LILRA4	FCGR3A	9606	0.9	0	0	0	0	0.0	0.9	0.0
9606.ENSP00000295683	9606.ENSP00000351059	CXCR1	CX3CR1	9606	0.479	0	0	0	0	0.0	0.0	0.479
9606.ENSP00000295683	9606.ENSP00000356946	CXCR1	FCGR3A	9606	0.493	0	0	0	0	0.0	0.0	0.494
9606.ENSP00000295683	9606.ENSP00000356793	CXCR1	XCL2	9606	0.65	0	0	0	0	0.0	0.65	0.0
9606.ENSP00000295683	9606.ENSP00000356792	CXCR1	XCL1	9606	0.663	0	0	0	0	0.0	0.65	0.079
9606.ENSP00000295683	9606.ENSP00000482259	CXCR1	CCL4	9606	0.727	0	0	0	0	0.0	0.65	0.253
9606.ENSP00000295683	9606.ENSP00000480558	CXCR1	CCL3L1	9606	0.762	0	0	0	0	0.0	0.65	0.349
9606.ENSP00000295683	9606.ENSP00000319635	CXCR1	CXCR2	9606	0.997	0	0	0	0	0.0	0.9	0.98
9606.ENSP00000296585	9606.ENSP00000375778	ITGA2	LAMB3	9606	0.512	0	0	0	0	0.0	0.5	0.065
9606.ENSP00000296585	9606.ENSP00000496959	ITGA2	ITGAM	9606	0.54	0	0	0	0	0.0	0.54	0.0
9606.ENSP00000296585	9606.ENSP00000428924	ITGA2	LYN	9606	0.673	0	0	0	0	0.127	0.36	0.463
9606.ENSP00000317790	9606.ENSP00000480132	SPTBN5	NCAM1	9606	0.4	0	0	0	0	0.0	0.4	0.0
9606.ENSP00000317790	9606.ENSP00000352035	SPTBN5	KCNQ2	9606	0.499	0	0	0	0	0.0	0.5	0.0
9606.ENSP00000319635	9606.ENSP00000369960	CXCR2	ADRA1A	9606	0.442	0	0	0	0	0.0	0.0	0.442
9606.ENSP00000319635	9606.ENSP00000356793	CXCR2	XCL2	9606	0.65	0	0	0	0	0.0	0.65	0.0
9606.ENSP00000319635	9606.ENSP00000356792	CXCR2	XCL1	9606	0.65	0	0	0	0	0.0	0.65	0.0
9606.ENSP00000319635	9606.ENSP00000480558	CXCR2	CCL3L1	9606	0.762	0	0	0	0	0.0	0.65	0.349
9606.ENSP00000319635	9606.ENSP00000497260	CXCR2	GNAI1	9606	0.9	0	0	0	0	0.9	0.0	0.0
9606.ENSP00000319635	9606.ENSP00000482259	CXCR2	CCL4	9606	0.945	0	0	0	0	0.0	0.65	0.85
9606.ENSP00000324101	9606.ENSP00000375778	CD151	LAMB3	9606	0.499	0	0	0	0	0.0	0.5	0.0
9606.ENSP00000326737	9606.ENSP00000381775	TNFRSF12A	TNFSF11	9606	0.499	0	0	0	0	0.0	0.5	0.0
9606.ENSP00000326737	9606.ENSP00000398698	TNFRSF12A	TNF	9606	0.519	0	0	0	0	0.0	0.5	0.079
9606.ENSP00000329797	9606.ENSP00000480132	CADM1	NCAM1	9606	0.514	0	0	0	0	0.0	0.0	0.514
9606.ENSP00000351059	9606.ENSP00000356793	CX3CR1	XCL2	9606	0.65	0	0	0	0	0.0	0.65	0.0
9606.ENSP00000351059	9606.ENSP00000482259	CX3CR1	CCL4	9606	0.651	0	0	0	0	0.0	0.65	0.045
9606.ENSP00000351059	9606.ENSP00000480558	CX3CR1	CCL3L1	9606	0.754	0	0	0	0	0.0	0.65	0.327
9606.ENSP00000351059	9606.ENSP00000356792	CX3CR1	XCL1	9606	0.77	0	0	0	0	0.0	0.65	0.371
9606.ENSP00000351059	9606.ENSP00000497260	CX3CR1	GNAI1	9606	0.9	0	0	0	0	0.9	0.0	0.0
9606.ENSP00000356694	9606.ENSP00000428924	FASLG	LYN	9606	0.42	0	0	0	0	0.42	0.0	0.0
9606.ENSP00000356694	9606.ENSP00000436423	FASLG	GNLY	9606	0.659	0	0	0	0	0.0	0.0	0.659
9606.ENSP00000356694	9606.ENSP00000398698	FASLG	TNF	9606	0.976	0	0	0	0	0.0	0.0	0.976
9606.ENSP00000356792	9606.ENSP00000356793	XCL1	XCL2	9606	0.908	0	0	0	0	0.0	0.9	0.122
9606.ENSP00000356906	9606.ENSP00000482457	SH2D1B	PLCG2	9606	0.405	0	0	0	0	0.405	0.0	0.0
9606.ENSP00000356906	9606.ENSP00000357012	SH2D1B	CD244	9606	0.683	0	0	0	0	0.549	0.0	0.326
9606.ENSP00000356946	9606.ENSP00000482457	FCGR3A	PLCG2	9606	0.499	0	0	0	0	0.0	0.5	0.0
9606.ENSP00000356946	9606.ENSP00000480132	FCGR3A	NCAM1	9606	0.765	0	0	0	0	0.07	0.0	0.758
9606.ENSP00000357012	9606.ENSP00000482457	CD244	PLCG2	9606	0.405	0	0	0	0	0.405	0.0	0.0
9606.ENSP00000357097	9606.ENSP00000433277	FCER1A	MS4A1	9606	0.467	0	0	0	0	0.0	0.0	0.467
9606.ENSP00000363117	9606.ENSP00000428924	FGR	LYN	9606	0.542	0	0	0	0	0.542	0.0	0.0
9606.ENSP00000371327	9606.ENSP00000482457	KLRC2	PLCG2	9606	0.499	0	0	0	0	0.0	0.5	0.0
9606.ENSP00000377245	9606.ENSP00000384273	KEAP1	RELA	9606	0.936	0	0	0	0	0.37	0.0	0.902
9606.ENSP00000378485	9606.ENSP00000428924	MATK	LYN	9606	0.509	0	0	0	0	0.245	0.0	0.377
9606.ENSP00000378485	9606.ENSP00000431418	MATK	NTRK1	9606	0.926	0	0	0	0	0.292	0.9	0.0
9606.ENSP00000381775	9606.ENSP00000398698	TNFSF11	TNF	9606	0.724	0	0	0	0	0.0	0.5	0.471
9606.ENSP00000384273	9606.ENSP00000398698	RELA	TNF	9606	0.749	0	0	0	0	0.457	0.0	0.558
9606.ENSP00000398698	9606.ENSP00000431418	TNF	NTRK1	9606	0.41	0	0	0	0	0.0	0.0	0.411
9606.ENSP00000399588	9606.ENSP00000482457	GAB3	PLCG2	9606	0.499	0	0	0	0	0.0	0.5	0.0
