stringId_A	stringId_B	preferredName_A	preferredName_B	ncbiTaxonId	score	nscore	fscore	pscore	ascore	escore	dscore	tscore
9606.ENSP00000289316	9606.ENSP00000366679	H2BC5	H2AC12	9606	0.439	0	0	0	0	0.072	0.4	0.074
9606.ENSP00000289316	9606.ENSP00000351589	H2BC5	H2AC13	9606	0.618	0	0	0	0	0.072	0.4	0.369
9606.ENSP00000289316	9606.ENSP00000358155	H2BC5	H2AC18	9606	0.668	0	0	0	0	0.072	0.4	0.452
9606.ENSP00000289316	9606.ENSP00000477527	H2BC5	H2BC17	9606	0.887	0	0	0	0	0.819	0.4	0.0
9606.ENSP00000351589	9606.ENSP00000477527	H2AC13	H2BC17	9606	0.613	0	0	0	0	0.361	0.4	0.074
9606.ENSP00000351589	9606.ENSP00000358155	H2AC13	H2AC18	9606	0.82	0	0	0	0	0.8	0.0	0.141
9606.ENSP00000351589	9606.ENSP00000366679	H2AC13	H2AC12	9606	0.9	0	0	0	0	0.9	0.0	0.0
9606.ENSP00000358155	9606.ENSP00000477527	H2AC18	H2BC17	9606	0.707	0	0	0	0	0.176	0.4	0.456
9606.ENSP00000358155	9606.ENSP00000366679	H2AC18	H2AC12	9606	0.8	0	0	0	0	0.8	0.0	0.0
9606.ENSP00000366679	9606.ENSP00000477527	H2AC12	H2BC17	9606	0.613	0	0	0	0	0.361	0.4	0.074
