stringId_A	stringId_B	preferredName_A	preferredName_B	ncbiTaxonId	score	nscore	fscore	pscore	ascore	escore	dscore	tscore
9606.ENSP00000215631	9606.ENSP00000252506	GADD45B	GADD45G	9606	0.928	0	0	0	0	0.0	0.9	0.314
9606.ENSP00000215980	9606.ENSP00000244537	CENPM	H4C6	9606	0.895	0	0	0	0	0.8	0.5	0.0
9606.ENSP00000215980	9606.ENSP00000281453	CENPM	CENPU	9606	0.993	0	0	0	0	0.917	0.8	0.621
9606.ENSP00000216341	9606.ENSP00000436423	GZMB	GNLY	9606	0.812	0	0	0	0	0.0	0.0	0.812
9606.ENSP00000225275	9606.ENSP00000352252	MPO	H3C12	9606	0.731	0	0	0	0	0.0	0.0	0.731
9606.ENSP00000225275	9606.ENSP00000333277	MPO	H3C13	9606	0.731	0	0	0	0	0.0	0.0	0.731
9606.ENSP00000225275	9606.ENSP00000361405	MPO	MMP9	9606	0.89	0	0	0	0	0.0	0.0	0.89
9606.ENSP00000240618	9606.ENSP00000371327	KLRK1	KLRC2	9606	0.719	0	0	0	0	0.0	0.4	0.551
9606.ENSP00000244537	9606.ENSP00000281453	H4C6	CENPU	9606	0.895	0	0	0	0	0.8	0.5	0.0
9606.ENSP00000244537	9606.ENSP00000445831	H4C6	H2BC18	9606	0.93	0	0	0	0	0.832	0.4	0.361
9606.ENSP00000244537	9606.ENSP00000366679	H4C6	H2AC12	9606	0.949	0	0	0	0	0.915	0.4	0.081
9606.ENSP00000244537	9606.ENSP00000328484	H4C6	H2AC14	9606	0.949	0	0	0	0	0.915	0.4	0.081
9606.ENSP00000244537	9606.ENSP00000289316	H4C6	H2BC5	9606	0.953	0	0	0	0	0.89	0.4	0.349
9606.ENSP00000244537	9606.ENSP00000351589	H4C6	H2AC13	9606	0.957	0	0	0	0	0.928	0.4	0.081
9606.ENSP00000244537	9606.ENSP00000332790	H4C6	H2AC21	9606	0.963	0	0	0	0	0.939	0.4	0.081
9606.ENSP00000244537	9606.ENSP00000477527	H4C6	H2BC17	9606	0.97	0	0	0	0	0.929	0.4	0.358
9606.ENSP00000244537	9606.ENSP00000482674	H4C6	H2BC3	9606	0.977	0	0	0	0	0.945	0.4	0.358
9606.ENSP00000244537	9606.ENSP00000477907	H4C6	H2BC14	9606	0.984	0	0	0	0	0.939	0.4	0.59
9606.ENSP00000244537	9606.ENSP00000349430	H4C6	H2BC12	9606	0.99	0	0	0	0	0.945	0.4	0.735
9606.ENSP00000244537	9606.ENSP00000303373	H4C6	H2AC8	9606	0.995	0	0	0	0	0.968	0.54	0.721
9606.ENSP00000244537	9606.ENSP00000358155	H4C6	H2AC18	9606	0.999	0	0	0	0	0.928	0.4	0.98
9606.ENSP00000244537	9606.ENSP00000352252	H4C6	H3C12	9606	0.999	0	0	0	0	0.965	0.8	0.97
9606.ENSP00000244537	9606.ENSP00000333277	H4C6	H3C13	9606	0.999	0	0	0	0	0.965	0.8	0.967
9606.ENSP00000244573	9606.ENSP00000358155	H1-1	H2AC18	9606	0.9	0	0	0	0	0.043	0.0	0.9
9606.ENSP00000254958	9606.ENSP00000328169	JAG1	JAG2	9606	0.919	0	0	0	0	0.0	0.9	0.228
9606.ENSP00000256593	9606.ENSP00000311469	GSTM5	GSTM1	9606	0.796	0	0	0	0	0.61	0.5	0.0
9606.ENSP00000256593	9606.ENSP00000358851	GSTM5	GSTM4	9606	0.833	0	0	0	0	0.68	0.5	0.0
9606.ENSP00000258443	9606.ENSP00000335076	EDAR	EDARADD	9606	0.984	0	0	0	0	0.457	0.9	0.737
9606.ENSP00000261799	9606.ENSP00000376865	PDGFRB	PDGFD	9606	0.981	0	0	0	0	0.0	0.0	0.981
9606.ENSP00000274532	9606.ENSP00000487363	TIMD4	HAVCR1	9606	0.786	0	0	0	0	0.0	0.0	0.786
9606.ENSP00000289316	9606.ENSP00000303373	H2BC5	H2AC8	9606	0.737	0	0	0	0	0.446	0.4	0.273
9606.ENSP00000289316	9606.ENSP00000352252	H2BC5	H3C12	9606	0.753	0	0	0	0	0.075	0.4	0.592
9606.ENSP00000289316	9606.ENSP00000445831	H2BC5	H2BC18	9606	0.8	0	0	0	0	0.8	0.0	0.0
