gene	log2FC	padj	degree	betweenness	closeness	eigenvector	community	is_disease_module
ADRA1A	-0.645	0.7179829332472144	1	0.0	0.2032	0.0885	5	False
CADM1	-1.221	0.1007548500845139	1	0.0	0.2209	0.0066	4	False
CCL3L1	2.02	0.8532893261030222	3	0.0005	0.2452	0.2713	5	False
CCL4	-1.475	0.4132926649529139	3	0.0005	0.2452	0.2713	5	False
CD151	-0.6	0.1355024945427503	1	0.0	0.1818	0.0002	1	False
CD244	-0.678	0.7325418634885449	2	0.0	0.2794	0.0154	2	False
CX3CR1	-1.822	0.6236762158444878	6	0.0507	0.25	0.3982	5	True
CXCR1	-1.337	0.651485488825647	7	0.3741	0.3089	0.4627	5	True
CXCR2	-1.196	0.7283952781903645	7	0.1034	0.2533	0.417	5	True
FASLG	-1.127	0.2353268126680192	3	0.2055	0.2879	0.0056	0	True
FCER1A	-2.685	0.411706793379635	1	0.0	0.2159	0.0063	4	False
FCGR3A	-0.771	0.7904135249439446	5	0.5974	0.3654	0.1328	4	True
FGR	-1.565	0.0005925842116878	1	0.0	0.2657	0.0047	2	False
GAB3	-0.602	0.5725182676151094	2	0.0	0.314	0.0168	2	False
GNAI1	1.216	0.0917168276868752	3	0.0531	0.2077	0.1812	5	True
GNLY	-1.826	0.8010024760493811	2	0.0036	0.2275	0.0023	0	False
GZMB	-2.182	0.0014190725412067	2	0.022	0.2695	0.0052	0	False
ITGA2	0.772	0.5176136599000329	3	0.1522	0.2774	0.0052	1	True
ITGAM	-0.968	0.2391927353245017	1	0.0	0.2184	0.0011	1	False
KCNQ2	1.816	0.7982693441350595	1	0.0	0.1836	0.0015	4	False
KLRC2	-3.652		2	0.0	0.2794	0.0217	2	False
KLRK1	-1.343	0.1344575285898879	3	0.0121	0.3193	0.0449	2	False
LAMB3	-1.164	0.4877170145941702	2	0.0526	0.2209	0.0012	1	True
LILRA4	-3.758		2	0.0526	0.2734	0.0295	4	True
LYN	-0.816	0.3877482147697756	8	0.5896	0.3585	0.0222	2	True
MATK	-1.146	0.081591243263696	2	0.0441	0.2774	0.005	3	True
NCAM1	-1.314	0.707235028669471	3	0.1522	0.2815	0.0311	4	True
NTRK1	-1.338	0.6308606384838749	2	0.0057	0.2317	0.0014	3	False
PLCG2	-0.858	0.5603537257011619	7	0.574	0.38	0.0572	2	True
RGS9	-0.691	0.2663614371059714	1	0.0	0.1727	0.0385	5	False
SH2D1B	-1.393	0.8101255603391105	2	0.0	0.2794	0.0154	2	False
SKAP2	-0.657	0.1023515476071938	1	0.0	0.2657	0.0047	2	False
SPTBN5	0.707	0.5628617301334127	2	0.0526	0.2235	0.0069	4	True
TNF	-0.73	0.393830443618006	5	0.155	0.2375	0.0018	0	True
TNFRSF12A	-1.766	0.3477298403854383	2	0.0	0.1939	0.0005	0	False
TNFSF11	-1.157	0.7982693441350595	2	0.0	0.1939	0.0005	0	False
TNFSF9	-1.999	0.0491809228448553	1	0.0	0.1929	0.0004	0	False
XCL1	-2.237	0.73701693453905	4	0.0005	0.2468	0.3444	5	False
XCL2	-3.691	0.1512405484320588	4	0.0005	0.2468	0.3444	5	False
