.	Basic Statistics	Per Base Sequence Quality	Per Sequence Quality Scores	Per Base Sequence Content	Per Sequence GC Content	Per Base N Content	Sequence Length Distribution	Sequence Duplication Levels	Overrepresented Sequences	Adapter Content
SRR10089413_1	1	1	1	0.5	0.25	1	1	0.25	0.5	0.25
SRR10089413_2	1	1	1	0.25	0.25	1	1	0.25	0.5	0.25
SRR10089428_1	1	1	1	0.5	0.25	1	1	0.25	0.5	0.25
SRR10089428_2	1	1	1	0.25	0.25	1	1	0.25	1	0.25
SRR10089431_1	1	1	1	0.5	0.25	1	1	0.25	0.5	0.25
SRR10089431_2	1	1	1	0.25	0.25	1	1	0.25	0.5	0.25
SRR10089494_1	1	1	1	0.5	0.25	1	1	0.25	0.5	0.25
SRR10089494_2	1	1	1	0.25	0.25	1	1	0.25	1	0.25
SRR10089583_1	1	1	1	0.5	0.25	1	1	0.25	0.5	0.25
SRR10089583_2	1	1	1	0.25	0.25	1	1	0.25	0.5	0.25
SRR10089589_1	1	1	1	0.5	0.25	1	1	0.25	0.5	0.25
SRR10089589_2	1	1	1	0.25	0.25	1	1	0.25	0.5	0.25
SRR10089616_1	1	1	1	0.5	0.25	1	1	0.25	0.5	0.25
SRR10089616_2	1	1	1	0.25	0.25	1	1	0.25	1	0.25
SRR10089670_1	1	1	1	0.5	0.25	1	1	0.25	0.5	0.25
SRR10089670_2	1	1	1	0.25	0.25	1	1	0.25	0.5	0.25
