Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35
SRR10089413_1 - illumina_universal_adapter	(1, 0.0009680004146931457)	(2, 0.0009724205079109226)	(3, 0.001050877162526463)	(4, 0.0012409411708908706)	(5, 0.0014022745733397281)	(6, 0.0014906764376952666)	(7, 0.0016100189545752435)	(8, 0.0017017358888441146)	(9, 0.0017625121705885473)	(10, 0.0022922603427391114)	(15, 0.0036596161796584015)	(20, 0.0060745341091908225)	(25, 0.0095761319563137)	(30, 0.013916884500831525)	(35, 0.01952377274758155)	(40, 0.025495760694119952)	(45, 0.03222734166013331)	(50, 0.039965377851834474)	(55, 0.0498064943965539)	(60, 0.06248663681505144)	(65, 0.08018402704504757)	(70, 0.10649529493784735)	(75, 0.14915074152202085)	(80, 0.22000770886357648)	(85, 0.33909695440217474)	(90, 0.5375553828011232)	(95, 0.8661022377064471)	(100, 1.3835099516022997)	(105, 2.1670833028116685)	(110, 3.294704333831784)	(115, 4.841336720612836)	(120, 6.8434159545629445)	(125, 9.299040732584482)	(130, 12.141302998616656)	(135, 15.36694006085076)	(140, 17.41233289326517)
SRR10089413_1 - polya	(1, 0.009462314555955944)	(2, 0.018053870748009834)	(3, 0.0231071423192333)	(4, 0.029912980851305313)	(5, 0.03310207810793136)	(6, 0.03726470089577277)	(7, 0.04184944258591189)	(8, 0.049831025913912565)	(9, 0.06202937817167242)	(10, 0.08273640987365286)	(15, 0.12042234565307978)	(20, 0.16367494683097492)	(25, 0.2149349888821948)	(30, 0.25268722605988836)	(35, 0.28229256842323636)	(40, 0.31237704889139145)	(45, 0.34472307005442204)	(50, 0.37520314886556816)	(55, 0.4159687845944811)	(60, 0.4437663088317585)	(65, 0.473959081583749)	(70, 0.5074152091584244)	(75, 0.540592428851058)	(80, 0.5701064962894588)	(85, 0.6071884263306766)	(90, 0.6426797858274772)	(95, 0.6868957463221868)	(100, 0.7179714326944284)	(105, 0.7469522158861046)	(110, 0.7773998070121)	(115, 0.804088329861037)	(120, 0.8299690806744253)	(125, 0.8558529255530661)	(130, 0.8891872795595915)	(135, 0.9227032993973676)	(140, 0.9375868582849272)
SRR10089413_1 - polyg	(1, 0.0)	(2, 0.0)	(3, 0.0008862286901642726)	(4, 0.0012122105649753207)	(5, 0.0015967586749219126)	(6, 0.0020453981365262702)	(7, 0.0027294075619772487)	(8, 0.0037217184893681672)	(9, 0.00511736292288123)	(10, 0.007581343887130975)	(15, 0.011820434287639932)	(20, 0.015478945443993886)	(25, 0.019714278765267733)	(30, 0.024621466255643668)	(35, 0.029932429261463535)	(40, 0.03572606644666464)	(45, 0.041630426966971036)	(50, 0.04762031629104143)	(55, 0.054978445470674674)	(60, 0.06161123735327072)	(65, 0.06984719704595446)	(70, 0.1801826689714064)	(75, 0.19511219682843065)	(80, 0.20450666295349368)	(85, 0.2145778453501984)	(90, 0.22645529884034765)	(95, 0.24277892409825874)	(100, 0.26252657456732065)	(105, 0.2994608734950646)	(110, 0.33358200409435446)	(115, 0.3786727010368621)	(120, 0.4245689599683097)	(125, 0.4739215107913979)	(130, 0.5145510076492034)	(135, 0.549972750677824)	(140, 0.5757712877573617)
SRR10089413_2 - illumina_universal_adapter	(1, 0.0009768406011286996)	(2, 0.000983470740955365)	(3, 0.0010597173489620168)	(4, 0.0012442562408042032)	(5, 0.001411114759775282)	(6, 0.0014984116008263761)	(7, 0.0016100189545752435)	(8, 0.001703945935453003)	(9, 0.001761407147284103)	(10, 0.0022993324918875544)	(15, 0.00375000708596194)	(20, 0.006363387200972545)	(25, 0.010316276565630444)	(30, 0.015311202906379256)	(35, 0.021542650324801155)	(40, 0.028190691528998536)	(45, 0.03554616865270111)	(50, 0.043974402400358145)	(55, 0.054454885429029)	(60, 0.06773593952048332)	(65, 0.08591092082266025)	(70, 0.11249711851360575)	(75, 0.15505333400504018)	(80, 0.22521457867411768)	(85, 0.3425682746107558)	(90, 0.5373308420656603)	(95, 0.858941023679666)	(100, 1.3646087489844423)	(105, 2.1311486079651254)	(110, 3.2334109011808714)	(115, 4.745660708848803)	(120, 6.704453969917222)	(125, 9.110203521092668)	(130, 11.889036565431098)	(135, 15.040240362901145)	(140, 17.042869456447544)
SRR10089413_2 - polya	(1, 0.015954326469565797)	(2, 0.021565634809533597)	(3, 0.025376860186561746)	(4, 0.03189207758956493)	(5, 0.036346426529779624)	(6, 0.04133781679595421)	(7, 0.04628279608334214)	(8, 0.05791427138592211)	(9, 0.07041429500579524)	(10, 0.0909820937714157)	(15, 0.1359163194140141)	(20, 0.17130690078544947)	(25, 0.20175935401398445)	(30, 0.22679188893888136)	(35, 0.24877013945029444)	(40, 0.27621516125345397)	(45, 0.3060837201679206)	(50, 0.3366086629252272)	(55, 0.3763373447852497)	(60, 0.40323604306669203)	(65, 0.43553079114839643)	(70, 0.4656901921965929)	(75, 0.4966584703036424)	(80, 0.529507498074856)	(85, 0.5763841336820065)	(90, 0.6108175438671323)	(95, 0.6471199904693951)	(100, 0.6738533772644925)	(105, 0.7001222122624017)	(110, 0.7251699965088999)	(115, 0.7468014907073783)	(120, 0.7672521570027276)	(125, 0.7902468079495687)	(130, 0.8172095975826688)	(135, 0.8440791232488738)	(140, 0.8569411525032827)
SRR10089413_2 - polyg	(1, 0.1801629995565873)	(2, 0.18190230623778253)	(3, 0.1822039775998958)	(4, 0.18243492747052464)	(5, 0.1827211285063757)	(6, 0.18293550302743788)	(7, 0.18323938443616003)	(8, 0.18378416092525104)	(9, 0.18485161343734416)	(10, 0.187846226592388)	(15, 0.19228996730888007)	(20, 0.1950412543322853)	(25, 0.19782458703151945)	(30, 0.20055244756087048)	(35, 0.20333445423213922)	(40, 0.20624022351350582)	(45, 0.20963640213738471)	(50, 0.21289820992744318)	(55, 0.2166795996752513)	(60, 0.22115184999299803)	(65, 0.2275996609744301)	(70, 0.23511625049592064)	(75, 0.24442054671934105)	(80, 0.25499584074753323)	(85, 0.26733828804419263)	(90, 0.28132257896659524)	(95, 0.29929445698541535)	(100, 0.3213911659950648)	(105, 0.3494317953593198)	(110, 0.38420621573619707)	(115, 0.4305785187071992)	(120, 0.49609999152557627)	(125, 0.593706921011796)	(130, 0.7484285270208421)	(135, 0.9937143069875629)	(140, 1.1957059369001415)
SRR10089428_1 - illumina_universal_adapter	(1, 0.0003700825105587433)	(2, 0.00037852087399167886)	(3, 0.0005026853645048729)	(4, 0.0009294254581133261)	(5, 0.0012368229831702627)	(6, 0.0014140286152619086)	(7, 0.001629809623046974)	(8, 0.001804604294157781)	(9, 0.0019504674334985235)	(10, 0.002618785817387017)	(15, 0.00399327467256317)	(20, 0.005911435228918455)	(25, 0.008338549648328792)	(30, 0.011483407151734817)	(35, 0.015523695563424344)	(40, 0.019780006078997017)	(45, 0.024815298087478684)	(50, 0.03111899666797959)	(55, 0.04018372776373701)	(60, 0.05404723559575582)	(65, 0.07750468045882612)	(70, 0.11890618461398476)	(75, 0.19598701813237945)	(80, 0.33920894971861315)	(85, 0.5974055118473778)	(90, 1.0468187647118345)	(95, 1.7971004192010187)	(100, 2.948462068483491)	(105, 4.605056503643191)	(110, 6.810514403358161)	(115, 9.567524230218131)	(120, 12.791881243198528)	(125, 16.421768402750647)	(130, 20.29852808180063)	(135, 24.410742451335416)	(140, 26.879536358702005)
SRR10089428_1 - polya	(1, 0.010377981542020265)	(2, 0.019942263753007464)	(3, 0.02551881650168742)	(4, 0.033116960032800645)	(5, 0.03669844256983656)	(6, 0.04113943269654148)	(7, 0.04605417665598121)	(8, 0.05376563535319385)	(9, 0.06593013898201561)	(10, 0.08808566491543302)	(15, 0.12510958721768278)	(20, 0.17025266171900505)	(25, 0.2272967218139434)	(30, 0.2687852616605103)	(35, 0.2997598417657377)	(40, 0.32989420196914276)	(45, 0.3625856273888253)	(50, 0.3936199993263775)	(55, 0.4354699422239722)	(60, 0.46501168821828703)	(65, 0.49754832994299986)	(70, 0.5347718798144631)	(75, 0.5699909567264569)	(80, 0.6005556734649418)	(85, 0.6381587085947891)	(90, 0.6755638038281093)	(95, 0.7244228924891983)	(100, 0.7593037115755805)	(105, 0.7912629281453825)	(110, 0.8237908904105643)	(115, 0.8511102125727419)	(120, 0.8778169095496887)	(125, 0.9038634854100817)	(130, 0.9375899363788383)	(135, 0.9731371450803245)	(140, 0.9885000295463269)
SRR10089428_1 - polyg	(1, 0.0)	(2, 0.0)	(3, 0.0010126036119522618)	(4, 0.0013814806420205858)	(5, 0.0016177548181427804)	(6, 0.0020107414580194916)	(7, 0.0025037829786010097)	(8, 0.0032692630900173028)	(9, 0.004390359946107307)	(10, 0.006355293145490863)	(15, 0.009924720877622587)	(20, 0.01305535371124166)	(25, 0.016482775841601984)	(30, 0.020267020197126437)	(35, 0.024286092152184583)	(40, 0.02844548203632754)	(45, 0.03305813258486817)	(50, 0.038017720418551504)	(55, 0.04322539613716314)	(60, 0.04840968553426063)	(65, 0.055263565410588945)	(70, 0.09768249509966152)	(75, 0.1102612018249914)	(80, 0.1177636302051653)	(85, 0.12758492085670992)	(90, 0.13835058492444904)	(95, 0.15062478727789896)	(100, 0.16473324874557096)	(105, 0.19058911759237965)	(110, 0.21339222764525037)	(115, 0.24246865817026336)	(120, 0.2739150633394408)	(125, 0.3097689462776896)	(130, 0.3410564691182298)	(135, 0.3746307884490956)	(140, 0.40154916780015987)
SRR10089428_2 - illumina_universal_adapter	(1, 0.00037852087399167886)	(2, 0.0003881647179150337)	(3, 0.0005111237279378084)	(4, 0.0009306309386037455)	(5, 0.0012356175026798433)	(6, 0.0014092066933002311)	(7, 0.0016249877010852964)	(8, 0.0018094262161194585)	(9, 0.0019564948359506204)	(10, 0.0026407255623126487)	(15, 0.004092606264973726)	(20, 0.0061971341051478435)	(25, 0.008952380314050332)	(30, 0.012526871064241819)	(35, 0.017008847527620996)	(40, 0.02171793651539518)	(45, 0.027176111079915955)	(50, 0.03385206203585837)	(55, 0.04318079335901762)	(60, 0.05720728215334112)	(65, 0.0804378555881145)	(70, 0.12097647680823098)	(75, 0.19584380705011767)	(80, 0.3340784247513883)	(85, 0.5832121845531804)	(90, 1.0148969180372358)	(95, 1.7306444496290823)	(100, 2.8253015021227186)	(105, 4.3976207961972005)	(110, 6.483458143559562)	(115, 9.093435273906987)	(120, 12.158034297221871)	(125, 15.620913707439096)	(130, 19.30049197828679)	(135, 23.202154714403953)	(140, 25.57251945205511)
