Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37
SRR10089413_1	(1, 0.010432525017257978)	(2, 0.07974732183513121)	(3, 0.02760016707510354)	(4, 0.0)	(5, 0.0)	(6, 0.0018365487319863107)	(7, 4.420093217776921e-06)	(8, 0.0)	(9, 0.0)	(10, 3.1382661846216143e-05)	(15, 8.840186435553843e-07)	(20, 0.0)	(25, 4.199088556888075e-06)	(30, 0.00029017911974705483)	(35, 5.967125843998843e-05)	(40, 0.00010453520460042418)	(45, 1.7680372871107685e-06)	(50, 0.00030653346465282945)	(55, 4.618997412576882e-05)	(60, 8.840186435553842e-06)	(65, 8.840186435553842e-06)	(70, 6.917445885820882e-05)	(75, 0.0001093973071399788)	(80, 0.000512509808601234)	(85, 0.00015315622999597032)	(90, 0.0007469957538042997)	(95, 0.0004904093425123493)	(100, 0.0004899673331905717)	(105, 0.0003069754739746072)	(110, 0.00020177725539151644)	(115, 0.0006548368102136508)	(120, 0.00021282748843595874)	(125, 0.0001434320249168611)	(130, 0.0002121644744532922)	(135, 0.00029305218033860985)	(140, 0.0011834799590597707)	(145, 0.0004992495289479032)	(150, 0.0005005755569132363)
SRR10089413_2	(1, 0.007413601349516341)	(2, 0.04427275869255808)	(3, 0.00580689746485443)	(4, 0.0008740734338153861)	(5, 0.001156959399753109)	(6, 0.0)	(7, 0.0)	(8, 0.006188130504887689)	(9, 0.0)	(10, 0.00020708136725284873)	(15, 0.00011602744696664416)	(20, 0.00020774438123551527)	(25, 0.000450849508213246)	(30, 0.002039873020004049)	(35, 0.000506763687418124)	(40, 0.000394714324347479)	(45, 0.0001905060176861853)	(50, 0.0009328606736118191)	(55, 0.0006800313415549793)	(60, 0.0008842396482162731)	(65, 6.011326776176613e-05)	(70, 0.00023006585198528874)	(75, 0.0006546158055527621)	(80, 0.0012805010051899742)	(85, 0.0008866706994860505)	(90, 6.829044021465342e-05)	(95, 8.39817711377615e-06)	(100, 0.00039648236163458987)	(105, 0.002497573672704849)	(110, 0.0004391362611861371)	(115, 0.00012111055416708764)	(120, 0.0010641374421797938)	(125, 0.0015306782813161476)	(130, 0.002322316976619994)	(135, 0.0007483217817696328)	(140, 0.0001295087312808638)	(145, 0.0001858649198075195)	(150, 0.00021437452106218066)
SRR10089428_1	(1, 0.010541926888717298)	(2, 0.07977267145350111)	(3, 0.02765131148923927)	(4, 0.0)	(5, 0.0)	(6, 0.0018877824479967167)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 2.941372396623237e-05)	(15, 7.232882942516156e-07)	(20, 0.0)	(25, 3.85753756934195e-06)	(30, 0.00027316187912902686)	(35, 5.40055259707873e-05)	(40, 0.00010126036119522618)	(45, 7.232882942516156e-07)	(50, 0.00029775368113358177)	(55, 4.02630483800066e-05)	(60, 6.750690746348412e-06)	(65, 6.268498550180669e-06)	(70, 6.099731281521959e-05)	(75, 9.812611192013585e-05)	(80, 0.0005094360552512213)	(85, 0.00013911244859439407)	(90, 0.0007314855615864673)	(95, 0.0004498853190245049)	(100, 0.0004713428717539695)	(105, 0.0002924495669757366)	(110, 0.00019408235895751688)	(115, 0.0006663896151038219)	(120, 0.00019673441603643946)	(125, 0.00012657545149403275)	(130, 0.00018829605260350395)	(135, 0.0002828057230523817)	(140, 0.001191496916730495)	(145, 0.0004713428717539695)	(150, 0.0004719456119991792)
SRR10089428_2	(1, 0.007172608917995189)	(2, 0.04417362709092701)	(3, 0.005611511682902118)	(4, 0.0008076719285809708)	(5, 0.0011174804146187461)	(6, 0.0)	(7, 0.0)	(8, 0.0060876764766177646)	(9, 0.0)	(10, 0.00019432345505560072)	(15, 0.0001116274934128327)	(20, 0.0002042083950770395)	(25, 0.000457359298065105)	(30, 0.002006401728253982)	(35, 0.0004906305596006793)	(40, 0.00037900306618784664)	(45, 0.00018419741893607811)	(50, 0.0009166473649148809)	(55, 0.0006601211165536413)	(60, 0.0008730089711617)	(65, 4.725483522443889e-05)	(70, 0.00021843306486398793)	(75, 0.0006295019120969895)	(80, 0.0012611736890767338)	(85, 0.0008749377399463711)	(90, 6.316717769797443e-05)	(95, 5.786306354012925e-06)	(100, 0.0003927455437786273)	(105, 0.002461350065338248)	(110, 0.0004561538175746856)	(115, 0.00011789599196301335)	(120, 0.0010545543330188556)	(125, 0.0015350588565000124)	(130, 0.00231886227137068)	(135, 0.0007584883245718609)	(140, 0.0001362192954173876)	(145, 0.00018974262919200718)	(150, 0.0002230138907275815)
SRR10089431_1	(1, 0.025817621232097694)	(2, 0.0)	(3, 0.04436976870968241)	(4, 0.0)	(5, 0.00017197584771194734)	(6, 0.0008123329747805512)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 6.6767093817579556e-06)	(20, 0.00016873865528442835)	(25, 0.011428300891775699)	(30, 0.0005391948637086349)	(35, 0.012300117277411912)	(40, 0.011637504452404116)	(45, 0.005569994220599894)	(50, 0.001423555370001484)	(55, 0.0029654705881341317)	(60, 0.0011073221347382208)	(65, 0.00031501928810294356)	(70, 0.00028790780152247183)	(75, 0.00040141186101235707)	(80, 0.0005035857470059258)	(85, 0.00034860515953845324)	(90, 0.000986332067759698)	(95, 0.0004091001930277147)	(100, 0.0003743003744318854)	(105, 0.00011734822549756406)	(110, 6.069735801598141e-07)	(115, 0.0003040937636600669)	(120, 0.00013495045932219868)	(125, 0.00012139471603196282)	(130, 7.101590887869825e-05)	(135, 0.00011835984813116375)	(140, 3.115797711487046e-05)	(145, 5.058113167998451e-05)	(150, 1.6185962137595044e-05)
SRR10089431_2	(1, 0.029771042484205285)	(2, 0.019057958794384565)	(3, 0.002944833486408698)	(4, 8.19414333215749e-05)	(5, 0.00011633660286396436)	(6, 0.0034617726521781397)	(7, 0.00046534641145585745)	(8, 0.00027516135633911577)	(9, 0.000372277129164686)	(10, 0.00034516564258421433)	(15, 0.0005610459125943881)	(20, 0.001394015989100373)	(25, 0.00104460153145504)	(30, 0.0001936245720709807)	(35, 0.00021668956811705364)	(40, 0.00021851048885753311)	(45, 0.0022391255372095544)	(50, 0.0009361555851331533)	(55, 0.00021729654169721347)	(60, 0.00015821777989499154)	(65, 0.001770137284272738)	(70, 0.0030688584212880204)	(75, 0.0006261944101982082)	(80, 0.0003425354237368551)	(85, 0.0005001462300516868)	(90, 0.0029409893204010193)	(95, 0.003959086338855748)	(100, 0.00044349536257010417)	(105, 0.00031724485789686287)	(110, 0.0002826473638277534)	(115, 0.0026077608248932815)	(120, 0.0007916958730551176)	(125, 0.00022458022465913122)	(130, 0.00019079202869690156)	(135, 0.0010994314781961432)	(140, 0.0027222765070167663)	(145, 0.0003303959521336588)	(150, 0.00012139471603196282)
SRR10089494_1	(1, 0.0006606811935427445)	(2, 0.05317446174739976)	(3, 0.0002861131780300811)	(4, 3.276105091947493e-06)	(5, 0.0)	(6, 0.0009402421613889304)	(7, 0.002471275274359059)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 0.00013606756481888589)	(20, 0.00010155925785037229)	(25, 3.6692377029811926e-05)	(30, 6.63957298634692e-05)	(35, 8.16842202925575e-05)	(40, 0.0006781537540331311)	(45, 7.382156807188352e-05)	(50, 1.1575571324881142e-05)	(55, 3.6692377029811926e-05)	(60, 3.3634678943994264e-05)	(65, 0.0006491056222178633)	(70, 0.0002863315850362109)	(75, 1.747256049038663e-06)	(80, 1.747256049038663e-06)	(85, 7.4476789090273e-05)	(90, 0.0012119404770144426)	(95, 1.5725304441347968e-05)	(100, 1.9438223545555127e-05)	(105, 1.3104420367789971e-06)	(110, 0.0004040529613401908)	(115, 0.0010933454726859432)	(120, 3.712919104207159e-05)	(125, 1.3104420367789971e-06)	(130, 2.6208840735579944e-05)	(135, 0.00018717480425326676)	(140, 0.0003313234282989565)	(145, 0.0002817450379074844)	(150, 1.1466367821816225e-05)
SRR10089494_2	(1, 0.004015412807696977)	(2, 0.0031155759424420664)	(3, 0.0029037211464961283)	(4, 0.002606687618159555)	(5, 0.0004728511682710882)	(6, 0.000724019225320396)	(7, 0.00024024770674281617)	(8, 0.00016162118453607634)	(9, 0.003941154425612835)	(10, 0.0002492023939941393)	(15, 1.747256049038663e-06)	(20, 2.053025857620429e-05)	(25, 6.11539617163532e-06)	(30, 0.001384263604850881)	(35, 0.00017756489598355412)	(40, 4.0623703140148916e-05)	(45, 2.205910761911312e-05)	(50, 5.198086745890022e-05)	(55, 0.0010577451306867808)	(60, 3.691078403594176e-05)	(65, 2.1840700612983286e-05)	(70, 0.0002668933614906558)	(75, 0.00023325868254666152)	(80, 0.0004245832199163951)	(85, 0.0002688590245458243)	(90, 3.603715601142242e-05)	(95, 2.1840700612983287e-07)	(100, 6.683254387572886e-05)	(105, 0.0007458599259333793)	(110, 0.0002385004506937775)	(115, 2.1840700612983287e-07)	(120, 6.552210183894986e-07)	(125, 0.00015266649728475318)	(130, 0.0010391805351657448)	(135, 1.8346188514905963e-05)	(140, 8.736280245193315e-07)	(145, 9.173094257452981e-06)	(150, 2.566282322025536e-05)
SRR10089583_1	(1, 0.025808411507765368)	(2, 0.0)	(3, 0.044344229294559896)	(4, 0.0)	(5, 0.00014550576544365522)	(6, 0.0007881562294864658)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 5.658557545031036e-06)	(20, 0.00017245127756285064)	(25, 0.01137720358208788)	(30, 0.0005407964282322519)	(35, 0.012215747919237241)	(40, 0.011571480724467278)	(45, 0.005525716170283404)	(50, 0.0013992804443498177)	(55, 0.0029039178410856896)	(60, 0.0010956045227664855)	(65, 0.00033681890148994266)	(70, 0.0003158014020369702)	(75, 0.00044460094996672434)	(80, 0.0005316349541117255)	(85, 0.0003440941897621254)	(90, 0.0010403662229221348)	(95, 0.00045834316114751395)	(100, 0.000434631110482622)	(105, 0.00012826063768737016)	(110, 8.083653635758624e-07)	(115, 0.00034948329218596454)	(120, 0.00016059525223040467)	(125, 0.00015197268835226213)	(130, 8.029762611520234e-05)	(135, 0.00012367990062710696)	(140, 3.2873524785418404e-05)	(145, 5.57772100867345e-05)	(150, 1.414639386257759e-05)
SRR10089583_2	(1, 0.029605034165360002)	(2, 0.019007364248880446)	(3, 0.0029316717185684607)	(4, 9.70038436291035e-05)	(5, 0.0001333802849900173)	(6, 0.0033776199441411447)	(7, 0.0004971446985991553)	(8, 0.0003300825234601438)	(9, 0.0004203499890594484)	(10, 0.00039609902815217256)	(15, 0.0005984598241673302)	(20, 0.0013820353165935326)	(25, 0.0010371327614678314)	(30, 0.00023765941689130352)	(35, 0.00024439579492110237)	(40, 0.00024628198076944607)	(45, 0.002248064076104473)	(50, 0.0009587213212009729)	(55, 0.00026002419195023574)	(60, 0.00018673239898602423)	(65, 0.001751458287747702)	(70, 0.0030335257543790193)	(75, 0.0006593566815567117)	(80, 0.00037885390039588753)	(85, 0.0005381018770203325)	(90, 0.002942988833658523)	(95, 0.003933775314281338)	(100, 0.0004966057883567715)	(105, 0.00036861460579059327)	(110, 0.0003325076195508714)	(115, 0.00258676916344276)	(120, 0.000799473344576528)	(125, 0.00025679073049593226)	(130, 0.00021367791110521965)	(135, 0.0011309031436426314)	(140, 0.0026816173661023276)	(145, 0.0003610698623972185)	(150, 0.0001239493557482989)
