Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37
SRR10089413_1	(1, 36.36683544829453)	(2, 36.457991726889425)	(3, 36.552079897516606)	(4, 36.59393332923664)	(5, 36.61436991753509)	(6, 36.5941046299493)	(7, 36.608561760343676)	(8, 36.66084971717315)	(9, 36.68165639987673)	(10, 36.67379948969803)	(15, 36.66729604300327)	(20, 36.646384820674996)	(25, 36.601121503622004)	(30, 36.55311747461864)	(35, 36.526819349873016)	(40, 36.48614800136258)	(45, 36.449515530710265)	(50, 36.419088336104416)	(55, 36.38584398845609)	(60, 36.353372739422056)	(65, 36.312385356456595)	(70, 36.27922157605739)	(75, 36.256186680161804)	(80, 36.22646280415863)	(85, 36.210416681193124)	(90, 36.170982839441145)	(95, 36.14300396540928)	(100, 36.101917727058996)	(105, 36.074104794376765)	(110, 36.034456540532936)	(115, 35.99541183715771)	(120, 35.95634766327186)	(125, 35.94071295816296)	(130, 35.88367462328016)	(135, 35.816623471121524)	(140, 35.78944975685012)	(145, 35.71509418406455)	(150, 35.43920405436587)
SRR10089413_2	(1, 36.634295819313394)	(2, 36.529607701588105)	(3, 36.6051102753034)	(4, 36.587494391592344)	(5, 36.612268616269596)	(6, 36.58727943140893)	(7, 36.56143888134336)	(8, 36.61312846805348)	(9, 36.605206843289984)	(10, 36.56633937018246)	(15, 36.528047068335056)	(20, 36.47960894418681)	(25, 36.43487601400945)	(30, 36.38677002229572)	(35, 36.342478025147436)	(40, 36.30507453111458)	(45, 36.25599317511087)	(50, 36.22694501864832)	(55, 36.183436365890415)	(60, 36.14413568607675)	(65, 36.10704135546401)	(70, 36.053319080595415)	(75, 36.01410016145606)	(80, 35.978082638482704)	(85, 35.940822251597915)	(90, 35.89881576088993)	(95, 35.84904379405155)	(100, 35.78110783205268)	(105, 35.751473765713556)	(110, 35.714445111055895)	(115, 35.680028446393926)	(120, 35.574270743461554)	(125, 35.46185201751122)	(130, 35.31859760962022)	(135, 35.18447634752315)	(140, 34.93503329750148)	(145, 34.657952083073354)	(150, 34.149399360715286)
SRR10089428_1	(1, 36.52007995373462)	(2, 36.55577415872711)	(3, 36.63502771411702)	(4, 36.66911255443558)	(5, 36.682843555852095)	(6, 36.66652359220553)	(7, 36.662397232486825)	(8, 36.706072947915985)	(9, 36.72387201201469)	(10, 36.7142319388343)	(15, 36.704137618906486)	(20, 36.68912629353783)	(25, 36.65401703589851)	(30, 36.61672036881338)	(35, 36.59766132445129)	(40, 36.562267534840856)	(45, 36.53020530996315)	(50, 36.49998639735814)	(55, 36.469716324161126)	(60, 36.447239332745326)	(65, 36.41258968141972)	(70, 36.38899208498386)	(75, 36.36241658768158)	(80, 36.33691536637313)	(85, 36.32590646527395)	(90, 36.291821699695184)	(95, 36.268654804561834)	(100, 36.23550879003825)	(105, 36.207469280077646)	(110, 36.17124934093368)	(115, 36.13227946692785)	(120, 36.09685160079492)	(125, 36.065652557811404)	(130, 35.98339085363859)	(135, 35.874023057514655)	(140, 35.768332480777346)	(145, 35.56828411931103)	(150, 35.22072214573984)
SRR10089428_2	(1, 36.65458967288491)	(2, 36.54203984223925)	(3, 36.617118481156304)	(4, 36.6078518200236)	(5, 36.631309710914444)	(6, 36.6091661554023)	(7, 36.579802049013054)	(8, 36.63307256941922)	(9, 36.62431236680495)	(10, 36.576252960147755)	(15, 36.51431799808652)	(20, 36.43962828816201)	(25, 36.38845429120556)	(30, 36.33576377809351)	(35, 36.285083128849685)	(40, 36.25287563875096)	(45, 36.21157783967143)	(50, 36.17019807274048)	(55, 36.11975275016511)	(60, 36.07895777387487)	(65, 36.04331716213402)	(70, 35.99188066456789)	(75, 35.93847271215293)	(80, 35.88719281614637)	(85, 35.85158286941824)	(90, 35.80444952492858)	(95, 35.74751057308856)	(100, 35.66098532310626)	(105, 35.60856967642276)	(110, 35.56839608674994)	(115, 35.51536329432937)	(120, 35.34260671220699)	(125, 35.134324557346964)	(130, 34.8925445395507)	(135, 34.63150915283966)	(140, 34.25043355467482)	(145, 33.84449683810906)	(150, 33.306288495060556)
SRR10089431_1	(1, 36.36384686299362)	(2, 36.415575205088786)	(3, 36.49493766836562)	(4, 36.541660046439546)	(5, 36.554299805899966)	(6, 36.54210747701416)	(7, 36.50041752700957)	(8, 36.5581118427728)	(9, 36.564137370665314)	(10, 36.56726192498232)	(15, 36.547614961048986)	(20, 36.52267579042376)	(25, 36.45080521620955)	(30, 36.411382205294856)	(35, 36.376686610132474)	(40, 36.33126779077499)	(45, 36.268609902025354)	(50, 36.249237943658486)	(55, 36.19685841198109)	(60, 36.17043694105952)	(65, 36.14200692981736)	(70, 36.10684693714556)	(75, 36.11201706728777)	(80, 36.07939726916517)	(85, 36.03203769427327)	(90, 35.99656003995504)	(95, 35.95137846229111)	(100, 35.89990944965807)	(105, 35.88900270902425)	(110, 35.855912704655054)	(115, 35.7878728641232)	(120, 35.734636514377335)	(125, 35.694965374686305)	(130, 35.64617163654948)	(135, 35.5943372622396)	(140, 35.482683624429434)	(145, 35.38658496532511)	(150, 35.00462210381292)
SRR10089431_2	(1, 36.38244902509421)	(2, 36.256248777833406)	(3, 36.3457067089498)	(4, 36.36504019328466)	(5, 36.38629416225962)	(6, 36.35886827348085)	(7, 36.29332611304539)	(8, 36.356047019815364)	(9, 36.358547326084114)	(10, 36.31792680485365)	(15, 36.27849204900017)	(20, 36.22728547758047)	(25, 36.16725071418029)	(30, 36.10923248089627)	(35, 36.06795574434232)	(40, 36.0451720380625)	(45, 36.01507944323123)	(50, 35.96895172122027)	(55, 35.91933926070011)	(60, 35.87152447180906)	(65, 35.83391276515009)	(70, 35.824405687382914)	(75, 35.77050293122716)	(80, 35.72920556566448)	(85, 35.68214869052025)	(90, 35.67333244377983)	(95, 35.61871580778724)	(100, 35.54686617618481)	(105, 35.49622758838572)	(110, 35.43185208579895)	(115, 35.41235442725012)	(120, 35.284074599480896)	(125, 35.13217028158213)	(130, 34.98571715294187)	(135, 34.769728455194574)	(140, 34.5483051021491)	(145, 34.28834081040482)	(150, 33.70222784594485)
SRR10089494_1	(1, 36.46058868522306)	(2, 36.48558208190361)	(3, 36.58974014907113)	(4, 36.616364447486774)	(5, 36.63403827446786)	(6, 36.618331722497174)	(7, 36.59068054854647)	(8, 36.64716758082924)	(9, 36.651464883087236)	(10, 36.65594843874902)	(15, 36.64684431792201)	(20, 36.63261739737944)	(25, 36.58995033871192)	(30, 36.55882163663783)	(35, 36.54031058109126)	(40, 36.51325911919559)	(45, 36.49349932588283)	(50, 36.469045175891694)	(55, 36.44520628296437)	(60, 36.41378167048195)	(65, 36.38987067139481)	(70, 36.36520909871808)	(75, 36.34726264984048)	(80, 36.326024170467704)	(85, 36.28936414378955)	(90, 36.25399751148926)	(95, 36.221551179474176)	(100, 36.19654433305046)	(105, 36.17648595246551)	(110, 36.118911175719)	(115, 36.08542705660781)	(120, 36.0491986348742)	(125, 36.03478019358652)	(130, 35.993752555487376)	(135, 35.93180668675221)	(140, 35.893927462519855)	(145, 35.853024217228125)	(150, 35.56594830994684)
SRR10089494_2	(1, 36.59716840053639)	(2, 36.50408893281225)	(3, 36.576876647003914)	(4, 36.58572311913214)	(5, 36.61355056609551)	(6, 36.57178497601557)	(7, 36.560596432866966)	(8, 36.61653196441096)	(9, 36.60834900675017)	(10, 36.588588177702015)	(15, 36.5672057055691)	(20, 36.53598796534861)	(25, 36.50492493447407)	(30, 36.44957729002413)	(35, 36.42466031112406)	(40, 36.40206282620939)	(45, 36.37108698108388)	(50, 36.3344653813685)	(55, 36.297071597320496)	(60, 36.26274179909894)	(65, 36.22842420779691)	(70, 36.19410882903105)	(75, 36.148034218955694)	(80, 36.109857085776554)	(85, 36.07698140534954)	(90, 36.044638829450534)	(95, 36.00562334330426)	(100, 35.94522631382372)	(105, 35.881266766269036)	(110, 35.86382296561188)	(115, 35.86084015958026)	(120, 35.813702163423386)	(125, 35.747773422535964)	(130, 35.6528266102476)	(135, 35.619633735499335)	(140, 35.54120367410592)	(145, 35.425701392115705)	(150, 35.03697723917712)
SRR10089583_1	(1, 36.28416582144209)	(2, 36.3526724686911)	(3, 36.43601903339361)	(4, 36.48710640404151)	(5, 36.49936009124182)	(6, 36.489548462332124)	(7, 36.44945188314976)	(8, 36.512514081893045)	(9, 36.52238303737977)	(10, 36.527716642826846)	(15, 36.50997624847416)	(20, 36.48740191547293)	(25, 36.415892215149185)	(30, 36.378205224915334)	(35, 36.34529510812446)	(40, 36.306155105400535)	(45, 36.25182907011994)	(50, 36.235015711860754)	(55, 36.19023151085521)	(60, 36.16130007407456)	(65, 36.13660251824942)	(70, 36.09669502919836)	(75, 36.0964952390042)	(80, 36.068711751098164)	(85, 36.020929635527054)	(90, 35.98801294942032)	(95, 35.943679816287656)	(100, 35.899242948322424)	(105, 35.88338690752326)	(110, 35.855411837026054)	(115, 35.786522261715206)	(120, 35.73331971417333)	(125, 35.69145591088407)	(130, 35.634152463878095)	(135, 35.5806410668763)	(140, 35.46105299585391)	(145, 35.35328566232129)	(150, 34.95746696045718)
SRR10089583_2	(1, 36.38551562588436)	(2, 36.26041701709867)	(3, 36.339615886066184)	(4, 36.35997532222218)	(5, 36.375032541758166)	(6, 36.34890272418185)	(7, 36.29729864639354)	(8, 36.346596781145706)	(9, 36.35145741471311)	(10, 36.27786606849067)	(15, 36.20935789882022)	(20, 36.11798364631062)	(25, 36.05003484660991)	(30, 35.97550234484562)	(35, 35.93655959404861)	(40, 35.919763790790576)	(45, 35.89239510209809)	(50, 35.825823695002235)	(55, 35.7553382959871)	(60, 35.69664238036223)	(65, 35.66997751922451)	(70, 35.664476819267676)	(75, 35.60012464993906)	(80, 35.54653988569687)	(85, 35.473867777536725)	(90, 35.438332879548454)	(95, 35.380538870632485)	(100, 35.31120289980057)	(105, 35.25187334159635)	(110, 35.20133936170905)	(115, 35.1872348411723)	(120, 35.02257662875887)	(125, 34.840829769261674)	(130, 34.66698284889861)	(135, 34.41775634879042)	(140, 34.16580955103347)	(145, 33.889001236704694)	(150, 33.32389738324453)
SRR10089589_1	(1, 36.25563049655121)	(2, 36.39208733620781)	(3, 36.498468808207974)	(4, 36.52110119327981)	(5, 36.55235943284552)	(6, 36.528924215410235)	(7, 36.533231372116454)	(8, 36.598238841435304)	(9, 36.608597689232745)	(10, 36.602864634530206)	(15, 36.589642874470925)	(20, 36.5656863307965)	(25, 36.502421763579164)	(30, 36.44341970174351)	(35, 36.41574314210996)	(40, 36.37383776627527)	(45, 36.331885491587244)	(50, 36.290007065171736)	(55, 36.254300853057515)	(60, 36.21866777561497)	(65, 36.179151091830775)	(70, 36.159613392815)	(75, 36.11883120381547)	(80, 36.08334182173072)	(85, 36.045562371001864)	(90, 36.01536931151946)	(95, 35.97341809990837)	(100, 35.900536116192555)	(105, 35.878966573690334)	(110, 35.86027084835936)	(115, 35.82383730745712)	(120, 35.76250332983219)	(125, 35.677388291565556)	(130, 35.63425439429292)	(135, 35.60354284414079)	(140, 35.533779453156356)	(145, 35.40654757672708)	(150, 35.009615708878805)
SRR10089589_2	(1, 36.466131461832404)	(2, 36.365008663187744)	(3, 36.458676142951326)	(4, 36.46305797662786)	(5, 36.48905219606324)	(6, 36.45727800842327)	(7, 36.43206572602981)	(8, 36.50654523188905)	(9, 36.495635310531945)	(10, 36.44195446152939)	(15, 36.37351667518332)	(20, 36.300785573058064)	(25, 36.25892960728211)	(30, 36.183138618129504)	(35, 36.13526441679615)	(40, 36.09415573552039)	(45, 36.06395152628605)	(50, 36.02524891041676)	(55, 35.965780547037426)	(60, 35.905674925529425)	(65, 35.85500377711449)	(70, 35.81496976409308)	(75, 35.791950994496446)	(80, 35.74060986485394)	(85, 35.69426793826993)	(90, 35.59696766926646)	(95, 35.556585364613376)	(100, 35.52858311419666)	(105, 35.47944106176359)	(110, 35.36806383751966)	(115, 35.210605284938474)	(120, 35.14888151592011)	(125, 34.98909704933053)	(130, 34.75741154909428)	(135, 34.4044504544565)	(140, 33.93142875982876)	(145, 33.60657716918995)	(150, 33.02228699492872)
