Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100
SRR10089413_1	(0.0, 3737.0)	(1.0, 2859.0)	(2.0, 1674.5)	(3.0, 1366.5)	(4.0, 1452.5)	(5.0, 1512.5)	(6.0, 1634.0)	(7.0, 1807.5)	(8.0, 1745.0)	(9.0, 1612.5)	(10.0, 1639.0)	(11.0, 1973.5)	(12.0, 2479.5)	(13.0, 3158.5)	(14.0, 4113.0)	(15.0, 5467.5)	(16.0, 7765.0)	(17.0, 11300.5)	(18.0, 16974.0)	(19.0, 25856.0)	(20.0, 40075.0)	(21.0, 61048.5)	(22.0, 92853.0)	(23.0, 134599.0)	(24.0, 188514.5)	(25.0, 258218.0)	(26.0, 343493.0)	(27.0, 447204.5)	(28.0, 569265.0)	(29.0, 700633.0)	(30.0, 829582.0)	(31.0, 958919.5)	(32.0, 1087140.0)	(33.0, 1207967.0)	(34.0, 1318673.0)	(35.0, 1430640.0)	(36.0, 1530400.5)	(37.0, 1610678.5)	(38.0, 1690489.0)	(39.0, 1750460.5)	(40.0, 1799081.0)	(41.0, 1846418.5)	(42.0, 1871452.0)	(43.0, 1867257.5)	(44.0, 1852273.5)	(45.0, 1858187.0)	(46.0, 1863637.5)	(47.0, 1843386.0)	(48.0, 1827566.5)	(49.0, 1824801.5)	(50.0, 1831325.5)	(51.0, 1841672.5)	(52.0, 1823701.0)	(53.0, 1740145.5)	(54.0, 1658556.5)	(55.0, 1618000.0)	(56.0, 1574265.5)	(57.0, 1559000.5)	(58.0, 1569812.5)	(59.0, 1668136.0)	(60.0, 1692822.0)	(61.0, 1586051.5)	(62.0, 1452522.0)	(63.0, 1339406.0)	(64.0, 1288525.5)	(65.0, 1154612.0)	(66.0, 1008784.0)	(67.0, 915073.0)	(68.0, 833858.0)	(69.0, 745430.5)	(70.0, 629555.5)	(71.0, 631644.0)	(72.0, 696854.5)	(73.0, 746056.0)	(74.0, 927838.5)	(75.0, 1407273.5)	(76.0, 1583423.0)	(77.0, 1700135.5)	(78.0, 1912370.0)	(79.0, 1629021.0)	(80.0, 1334791.5)	(81.0, 1351960.5)	(82.0, 1671605.0)	(83.0, 1691951.5)	(84.0, 1572510.5)	(85.0, 1316137.5)	(86.0, 1317649.5)	(87.0, 1441268.0)	(88.0, 994442.0)	(89.0, 639398.0)	(90.0, 436297.0)	(91.0, 326916.0)	(92.0, 255234.5)	(93.0, 209198.5)	(94.0, 173793.0)	(95.0, 112508.0)	(96.0, 52588.5)	(97.0, 14699.0)	(98.0, 6433.0)	(99.0, 4105.0)	(100.0, 2515.5)
SRR10089413_2	(0.0, 6768.0)	(1.0, 4943.5)	(2.0, 3486.5)	(3.0, 4313.0)	(4.0, 4964.5)	(5.0, 5408.5)	(6.0, 6118.0)	(7.0, 6598.0)	(8.0, 6558.5)	(9.0, 6383.0)	(10.0, 6375.5)	(11.0, 6662.0)	(12.0, 7068.5)	(13.0, 7557.0)	(14.0, 8463.5)	(15.0, 9938.0)	(16.0, 12173.0)	(17.0, 15724.0)	(18.0, 21584.5)	(19.0, 30977.5)	(20.0, 45909.5)	(21.0, 68499.0)	(22.0, 102164.5)	(23.0, 148218.0)	(24.0, 207727.5)	(25.0, 282718.0)	(26.0, 375107.0)	(27.0, 485873.5)	(28.0, 608892.0)	(29.0, 738209.5)	(30.0, 867673.5)	(31.0, 996795.0)	(32.0, 1120878.5)	(33.0, 1240249.5)	(34.0, 1349933.0)	(35.0, 1451320.5)	(36.0, 1545140.5)	(37.0, 1621104.5)	(38.0, 1691716.0)	(39.0, 1751469.0)	(40.0, 1794374.5)	(41.0, 1817335.5)	(42.0, 1821687.5)	(43.0, 1821845.5)	(44.0, 1808228.5)	(45.0, 1811129.0)	(46.0, 1820291.0)	(47.0, 1802587.0)	(48.0, 1797045.0)	(49.0, 1791992.0)	(50.0, 1779720.5)	(51.0, 1754416.0)	(52.0, 1705907.5)	(53.0, 1660399.0)	(54.0, 1611589.0)	(55.0, 1575858.0)	(56.0, 1543560.0)	(57.0, 1493510.0)	(58.0, 1464273.5)	(59.0, 1504249.0)	(60.0, 1524485.0)	(61.0, 1536277.5)	(62.0, 1521056.0)	(63.0, 1452612.5)	(64.0, 1427028.5)	(65.0, 1277011.5)	(66.0, 1063936.0)	(67.0, 910438.5)	(68.0, 778427.0)	(69.0, 724536.0)	(70.0, 685552.0)	(71.0, 704914.0)	(72.0, 785701.0)	(73.0, 763866.0)	(74.0, 871934.5)	(75.0, 1173375.5)	(76.0, 1386955.0)	(77.0, 1803859.5)	(78.0, 2065952.0)	(79.0, 1663782.5)	(80.0, 1229518.5)	(81.0, 1155410.5)	(82.0, 1296469.5)	(83.0, 1473408.5)	(84.0, 1645514.0)	(85.0, 1558833.0)	(86.0, 1473263.5)	(87.0, 1574668.5)	(88.0, 1370111.0)	(89.0, 872888.0)	(90.0, 464308.0)	(91.0, 306564.5)	(92.0, 217242.0)	(93.0, 151730.0)	(94.0, 128617.0)	(95.0, 104118.5)	(96.0, 84100.0)	(97.0, 66533.5)	(98.0, 50085.5)	(99.0, 36643.5)	(100.0, 35663.0)
SRR10089428_1	(0.0, 4458.0)	(1.0, 3132.0)	(2.0, 1442.5)	(3.0, 1091.5)	(4.0, 1177.0)	(5.0, 1256.5)	(6.0, 1429.5)	(7.0, 1689.0)	(8.0, 1639.0)	(9.0, 1307.0)	(10.0, 1198.0)	(11.0, 1410.5)	(12.0, 1743.0)	(13.0, 2242.5)	(14.0, 2977.5)	(15.0, 4006.5)	(16.0, 5674.5)	(17.0, 8464.0)	(18.0, 13073.0)	(19.0, 20578.0)	(20.0, 32346.5)	(21.0, 49714.0)	(22.0, 75811.5)	(23.0, 109845.5)	(24.0, 156722.0)	(25.0, 218791.5)	(26.0, 296753.5)	(27.0, 395567.0)	(28.0, 515860.5)	(29.0, 648948.5)	(30.0, 784454.5)	(31.0, 923735.5)	(32.0, 1064642.5)	(33.0, 1199015.5)	(34.0, 1321058.5)	(35.0, 1445206.0)	(36.0, 1555452.0)	(37.0, 1641639.0)	(38.0, 1729182.0)	(39.0, 1800948.5)	(40.0, 1854940.0)	(41.0, 1902367.5)	(42.0, 1934185.0)	(43.0, 1937367.0)	(44.0, 1920611.5)	(45.0, 1931100.0)	(46.0, 1952524.5)	(47.0, 1936349.0)	(48.0, 1910892.5)	(49.0, 1900647.5)	(50.0, 1907438.5)	(51.0, 1918294.0)	(52.0, 1893572.5)	(53.0, 1793613.0)	(54.0, 1697988.5)	(55.0, 1654604.5)	(56.0, 1603530.0)	(57.0, 1578449.5)	(58.0, 1582160.5)	(59.0, 1688752.5)	(60.0, 1744873.5)	(61.0, 1658797.0)	(62.0, 1503856.5)	(63.0, 1367471.5)	(64.0, 1274831.0)	(65.0, 1079953.0)	(66.0, 909415.5)	(67.0, 828350.5)	(68.0, 765774.5)	(69.0, 664014.5)	(70.0, 528887.5)	(71.0, 501945.0)	(72.0, 538502.5)	(73.0, 582824.5)	(74.0, 649357.5)	(75.0, 915746.5)	(76.0, 1074226.0)	(77.0, 1160240.5)	(78.0, 1262736.0)	(79.0, 1057148.0)	(80.0, 942293.0)	(81.0, 990963.0)	(82.0, 1257207.5)	(83.0, 1424989.0)	(84.0, 1255060.5)	(85.0, 876153.5)	(86.0, 811883.0)	(87.0, 896148.5)	(88.0, 612709.5)	(89.0, 383047.5)	(90.0, 269730.5)	(91.0, 205445.0)	(92.0, 142342.0)	(93.0, 98979.0)	(94.0, 77870.0)	(95.0, 49960.5)	(96.0, 23796.0)	(97.0, 9379.5)	(98.0, 6298.5)	(99.0, 4698.0)	(100.0, 2876.0)
SRR10089428_2	(0.0, 8674.0)	(1.0, 6148.5)	(2.0, 3954.0)	(3.0, 4537.0)	(4.0, 5030.5)	(5.0, 5544.5)	(6.0, 6231.0)	(7.0, 6660.5)	(8.0, 6746.0)	(9.0, 6506.5)	(10.0, 6252.5)	(11.0, 6430.0)	(12.0, 6712.5)	(13.0, 7154.5)	(14.0, 7777.5)	(15.0, 8806.0)	(16.0, 10568.0)	(17.0, 13477.0)	(18.0, 18415.5)	(19.0, 26014.0)	(20.0, 37990.5)	(21.0, 55895.5)	(22.0, 82958.0)	(23.0, 121171.5)	(24.0, 173004.0)	(25.0, 240921.0)	(26.0, 327755.5)	(27.0, 435521.5)	(28.0, 558450.0)	(29.0, 693772.5)	(30.0, 833277.5)	(31.0, 972866.0)	(32.0, 1109806.0)	(33.0, 1240783.0)	(34.0, 1360232.5)	(35.0, 1471574.0)	(36.0, 1575607.0)	(37.0, 1665254.5)	(38.0, 1743899.0)	(39.0, 1808164.0)	(40.0, 1853418.0)	(41.0, 1875490.5)	(42.0, 1882876.0)	(43.0, 1886157.0)	(44.0, 1876466.0)	(45.0, 1885672.5)	(46.0, 1904575.5)	(47.0, 1892013.5)	(48.0, 1878618.5)	(49.0, 1865783.5)	(50.0, 1848498.0)	(51.0, 1816133.5)	(52.0, 1763755.0)	(53.0, 1709512.5)	(54.0, 1647532.0)	(55.0, 1602010.0)	(56.0, 1567421.5)	(57.0, 1512833.0)	(58.0, 1473315.0)	(59.0, 1515584.0)	(60.0, 1548739.5)	(61.0, 1574866.5)	(62.0, 1548733.0)	(63.0, 1467499.0)	(64.0, 1461144.5)	(65.0, 1311589.5)	(66.0, 1032326.5)	(67.0, 832136.5)	(68.0, 699591.5)	(69.0, 620641.5)	(70.0, 550649.5)	(71.0, 528099.5)	(72.0, 566238.0)	(73.0, 561349.5)	(74.0, 599405.0)	(75.0, 749079.0)	(76.0, 906714.5)	(77.0, 1205632.5)	(78.0, 1358322.0)	(79.0, 1065938.5)	(80.0, 810775.5)	(81.0, 780923.5)	(82.0, 824517.0)	(83.0, 908657.0)	(84.0, 1027519.5)	(85.0, 1008476.0)	(86.0, 990914.5)	(87.0, 1067167.5)	(88.0, 954639.5)	(89.0, 638687.5)	(90.0, 356760.5)	(91.0, 244463.5)	(92.0, 187943.0)	(93.0, 148382.0)	(94.0, 141086.5)	(95.0, 140948.5)	(96.0, 147724.0)	(97.0, 145785.0)	(98.0, 122538.5)	(99.0, 90017.5)	(100.0, 65474.5)
SRR10089431_1	(0.0, 3228.0)	(1.0, 2343.5)	(2.0, 1227.5)	(3.0, 957.0)	(4.0, 953.5)	(5.0, 1098.0)	(6.0, 1380.0)	(7.0, 1699.0)	(8.0, 1781.5)	(9.0, 1450.0)	(10.0, 1255.5)	(11.0, 1496.0)	(12.0, 1933.0)	(13.0, 2543.5)	(14.0, 3615.0)	(15.0, 5072.0)	(16.0, 7310.0)	(17.0, 10900.5)	(18.0, 16330.5)	(19.0, 25194.5)	(20.0, 39499.0)	(21.0, 60106.5)	(22.0, 90946.0)	(23.0, 131293.0)	(24.0, 185236.5)	(25.0, 256590.0)	(26.0, 345026.5)	(27.0, 454575.5)	(28.0, 589302.0)	(29.0, 737872.0)	(30.0, 886902.0)	(31.0, 1042340.5)	(32.0, 1200007.5)	(33.0, 1351356.0)	(34.0, 1494299.0)	(35.0, 1637339.5)	(36.0, 1764475.5)	(37.0, 1872234.0)	(38.0, 1978474.5)	(39.0, 2060814.5)	(40.0, 2128458.5)	(41.0, 2193320.0)	(42.0, 2236524.0)	(43.0, 2246307.5)	(44.0, 2229296.0)	(45.0, 2236080.0)	(46.0, 2254004.5)	(47.0, 2238546.0)	(48.0, 2214318.0)	(49.0, 2204020.0)	(50.0, 2216803.5)	(51.0, 2241066.5)	(52.0, 2222144.0)	(53.0, 2107992.5)	(54.0, 2001203.0)	(55.0, 1960059.5)	(56.0, 1908310.5)	(57.0, 1909743.5)	(58.0, 1966795.5)	(59.0, 2150157.0)	(60.0, 2204760.0)	(61.0, 2057582.5)	(62.0, 1876756.5)	(63.0, 1733664.5)	(64.0, 1654348.5)	(65.0, 1400906.0)	(66.0, 1185186.0)	(67.0, 1066433.0)	(68.0, 944638.0)	(69.0, 824714.5)	(70.0, 682232.5)	(71.0, 700863.5)	(72.0, 783966.5)	(73.0, 843205.0)	(74.0, 978267.5)	(75.0, 1457204.5)	(76.0, 1753411.5)	(77.0, 1862973.0)	(78.0, 1978048.5)	(79.0, 1638337.0)	(80.0, 1339596.5)	(81.0, 1349763.0)	(82.0, 1640701.5)	(83.0, 1538490.5)	(84.0, 1196295.0)	(85.0, 854466.5)	(86.0, 641785.5)	(87.0, 639921.5)	(88.0, 396529.5)	(89.0, 211544.0)	(90.0, 117712.5)	(91.0, 63283.5)	(92.0, 35915.5)	(93.0, 18856.0)	(94.0, 12380.5)	(95.0, 8875.0)	(96.0, 6541.5)	(97.0, 5189.0)	(98.0, 4252.0)	(99.0, 3609.0)	(100.0, 2793.0)
SRR10089431_2	(0.0, 7150.0)	(1.0, 5635.5)	(2.0, 4396.0)	(3.0, 5061.0)	(4.0, 5755.0)	(5.0, 6457.0)	(6.0, 7322.5)	(7.0, 7865.0)	(8.0, 8110.0)	(9.0, 7945.0)	(10.0, 7822.0)	(11.0, 8280.0)	(12.0, 8717.0)	(13.0, 9330.5)	(14.0, 10341.5)	(15.0, 11963.5)	(16.0, 14343.0)	(17.0, 18285.0)	(18.0, 24573.0)	(19.0, 34530.0)	(20.0, 49960.0)	(21.0, 72309.0)	(22.0, 105563.5)	(23.0, 152065.5)	(24.0, 212978.5)	(25.0, 292875.0)	(26.0, 394534.5)	(27.0, 517899.0)	(28.0, 657777.0)	(29.0, 807548.5)	(30.0, 962140.5)	(31.0, 1119078.5)	(32.0, 1272802.5)	(33.0, 1420104.5)	(34.0, 1554831.0)	(35.0, 1682674.0)	(36.0, 1804024.5)	(37.0, 1907888.0)	(38.0, 1997934.5)	(39.0, 2072809.5)	(40.0, 2129776.0)	(41.0, 2163896.0)	(42.0, 2176218.0)	(43.0, 2180772.0)	(44.0, 2167275.5)	(45.0, 2178511.0)	(46.0, 2200610.0)	(47.0, 2183051.0)	(48.0, 2170434.0)	(49.0, 2159220.0)	(50.0, 2142502.0)	(51.0, 2109004.5)	(52.0, 2049893.5)	(53.0, 1989601.5)	(54.0, 1932419.0)	(55.0, 1894240.0)	(56.0, 1851915.5)	(57.0, 1789897.5)	(58.0, 1754572.0)	(59.0, 1823429.5)	(60.0, 1883010.0)	(61.0, 1957216.0)	(62.0, 1949754.5)	(63.0, 1837415.0)	(64.0, 1869738.0)	(65.0, 1722596.0)	(66.0, 1349425.0)	(67.0, 1059878.0)	(68.0, 877950.5)	(69.0, 792193.5)	(70.0, 723493.0)	(71.0, 736039.0)	(72.0, 850049.0)	(73.0, 848429.5)	(74.0, 919858.5)	(75.0, 1201545.0)	(76.0, 1474133.5)	(77.0, 1962109.5)	(78.0, 2211606.5)	(79.0, 1694355.0)	(80.0, 1203233.0)	(81.0, 1170586.5)	(82.0, 1222656.0)	(83.0, 1199028.5)	(84.0, 1183216.0)	(85.0, 994146.0)	(86.0, 917211.0)	(87.0, 893382.0)	(88.0, 542605.5)	(89.0, 249945.0)	(90.0, 145861.0)	(91.0, 101375.5)	(92.0, 84288.5)	(93.0, 77747.0)	(94.0, 80446.5)	(95.0, 84071.0)	(96.0, 88749.5)	(97.0, 95433.0)	(98.0, 90768.0)	(99.0, 76549.5)	(100.0, 74374.5)
SRR10089494_1	(0.0, 5255.0)	(1.0, 3715.5)	(2.0, 1758.5)	(3.0, 1213.0)	(4.0, 1078.0)	(5.0, 1180.0)	(6.0, 1415.5)	(7.0, 1599.0)	(8.0, 1701.5)	(9.0, 1390.0)	(10.0, 1098.0)	(11.0, 1282.0)	(12.0, 1674.0)	(13.0, 2323.0)	(14.0, 3170.5)	(15.0, 4407.5)	(16.0, 6361.0)	(17.0, 9556.5)	(18.0, 14600.0)	(19.0, 22568.0)	(20.0, 34979.0)	(21.0, 53702.5)	(22.0, 82146.5)	(23.0, 119080.0)	(24.0, 169145.5)	(25.0, 235380.0)	(26.0, 319814.5)	(27.0, 426487.5)	(28.0, 557545.5)	(29.0, 705251.5)	(30.0, 858933.5)	(31.0, 1021048.0)	(32.0, 1185175.5)	(33.0, 1341508.0)	(34.0, 1488089.5)	(35.0, 1630523.5)	(36.0, 1755892.5)	(37.0, 1856492.0)	(38.0, 1947209.5)	(39.0, 2020658.0)	(40.0, 2079018.0)	(41.0, 2125540.5)	(42.0, 2152316.5)	(43.0, 2148485.0)	(44.0, 2131693.0)	(45.0, 2141066.5)	(46.0, 2153542.5)	(47.0, 2142207.5)	(48.0, 2131365.0)	(49.0, 2135654.5)	(50.0, 2144257.0)	(51.0, 2149644.5)	(52.0, 2120813.5)	(53.0, 2008533.0)	(54.0, 1905677.5)	(55.0, 1864912.5)	(56.0, 1819821.0)	(57.0, 1816031.5)	(58.0, 1841886.5)	(59.0, 1929997.0)	(60.0, 1918155.5)	(61.0, 1776428.0)	(62.0, 1626360.0)	(63.0, 1497206.0)	(64.0, 1390460.5)	(65.0, 1175721.5)	(66.0, 1014072.0)	(67.0, 916637.0)	(68.0, 827675.5)	(69.0, 744686.0)	(70.0, 618938.5)	(71.0, 623131.0)	(72.0, 677542.0)	(73.0, 714884.5)	(74.0, 857993.0)	(75.0, 1244390.0)	(76.0, 1450001.5)	(77.0, 1574371.5)	(78.0, 1694327.5)	(79.0, 1375161.0)	(80.0, 1068179.0)	(81.0, 1045248.5)	(82.0, 1241974.5)	(83.0, 1267045.5)	(84.0, 1038630.0)	(85.0, 699298.5)	(86.0, 511382.5)	(87.0, 494021.0)	(88.0, 328183.5)	(89.0, 172981.0)	(90.0, 93726.5)	(91.0, 44700.5)	(92.0, 21206.5)	(93.0, 9600.5)	(94.0, 5922.5)	(95.0, 4490.5)	(96.0, 3117.5)	(97.0, 2039.5)	(98.0, 1460.5)	(99.0, 1146.5)	(100.0, 765.0)
SRR10089494_2	(0.0, 10021.0)	(1.0, 6608.5)	(2.0, 3452.0)	(3.0, 3775.0)	(4.0, 3866.5)	(5.0, 3982.0)	(6.0, 4296.0)	(7.0, 4560.5)	(8.0, 4622.0)	(9.0, 4153.0)	(10.0, 3602.5)	(11.0, 3602.5)	(12.0, 3865.5)	(13.0, 4217.5)	(14.0, 4879.5)	(15.0, 6229.0)	(16.0, 8246.0)	(17.0, 11585.5)	(18.0, 17174.0)	(19.0, 25998.0)	(20.0, 40185.0)	(21.0, 61138.0)	(22.0, 91163.5)	(23.0, 134091.0)	(24.0, 192067.5)	(25.0, 268519.0)	(26.0, 366896.5)	(27.0, 486756.5)	(28.0, 625572.5)	(29.0, 777498.0)	(30.0, 936307.5)	(31.0, 1099328.5)	(32.0, 1259072.5)	(33.0, 1410851.0)	(34.0, 1546134.0)	(35.0, 1671857.5)	(36.0, 1783988.0)	(37.0, 1877171.0)	(38.0, 1960278.0)	(39.0, 2022056.5)	(40.0, 2064397.5)	(41.0, 2087592.5)	(42.0, 2093607.5)	(43.0, 2084902.0)	(44.0, 2067475.0)	(45.0, 2077673.0)	(46.0, 2098310.5)	(47.0, 2094849.0)	(48.0, 2092477.0)	(49.0, 2089292.5)	(50.0, 2074762.0)	(51.0, 2037966.0)	(52.0, 1973904.5)	(53.0, 1908957.0)	(54.0, 1852941.0)	(55.0, 1817160.0)	(56.0, 1777398.5)	(57.0, 1723905.5)	(58.0, 1687573.0)	(59.0, 1710917.5)	(60.0, 1714122.0)	(61.0, 1719928.5)	(62.0, 1684345.0)	(63.0, 1576021.5)	(64.0, 1550121.0)	(65.0, 1426493.5)	(66.0, 1178400.5)	(67.0, 950518.5)	(68.0, 790871.0)	(69.0, 714443.5)	(70.0, 641592.5)	(71.0, 660250.0)	(72.0, 743973.0)	(73.0, 718147.5)	(74.0, 802498.0)	(75.0, 1027677.5)	(76.0, 1230980.0)	(77.0, 1650650.0)	(78.0, 1883793.0)	(79.0, 1441869.0)	(80.0, 963763.5)	(81.0, 943309.5)	(82.0, 1040461.0)	(83.0, 1011163.5)	(84.0, 932396.5)	(85.0, 785284.0)	(86.0, 706698.5)	(87.0, 653671.5)	(88.0, 409022.5)	(89.0, 191582.5)	(90.0, 112968.5)	(91.0, 72780.5)	(92.0, 57715.0)	(93.0, 53439.0)	(94.0, 57445.5)	(95.0, 62549.5)	(96.0, 66696.5)	(97.0, 66697.0)	(98.0, 55673.0)	(99.0, 38129.5)	(100.0, 26181.0)
SRR10089583_1	(0.0, 3081.0)	(1.0, 2105.0)	(2.0, 925.5)	(3.0, 626.0)	(4.0, 560.5)	(5.0, 692.5)	(6.0, 993.5)	(7.0, 1407.5)	(8.0, 1878.5)	(9.0, 1593.0)	(10.0, 1207.0)	(11.0, 1606.0)	(12.0, 2184.0)	(13.0, 2949.0)	(14.0, 3866.0)	(15.0, 5141.5)	(16.0, 6989.0)	(17.0, 9435.0)	(18.0, 13073.5)	(19.0, 18245.0)	(20.0, 25942.0)	(21.0, 37413.5)	(22.0, 54337.0)	(23.0, 75540.5)	(24.0, 103292.5)	(25.0, 141702.0)	(26.0, 191488.0)	(27.0, 254713.0)	(28.0, 336359.0)	(29.0, 430595.5)	(30.0, 533040.5)	(31.0, 647703.0)	(32.0, 768778.5)	(33.0, 889739.0)	(34.0, 1004025.5)	(35.0, 1117881.0)	(36.0, 1221196.0)	(37.0, 1304850.0)	(38.0, 1383248.0)	(39.0, 1445269.0)	(40.0, 1497615.5)	(41.0, 1543396.0)	(42.0, 1575255.5)	(43.0, 1584319.0)	(44.0, 1573180.5)	(45.0, 1585174.0)	(46.0, 1606805.5)	(47.0, 1602882.0)	(48.0, 1592840.0)	(49.0, 1596370.5)	(50.0, 1615393.5)	(51.0, 1633445.0)	(52.0, 1617936.0)	(53.0, 1538151.0)	(54.0, 1464411.5)	(55.0, 1439104.0)	(56.0, 1412605.5)	(57.0, 1402921.0)	(58.0, 1402750.5)	(59.0, 1457081.5)	(60.0, 1458792.5)	(61.0, 1373068.0)	(62.0, 1276438.5)	(63.0, 1174618.0)	(64.0, 1102160.0)	(65.0, 971259.0)	(66.0, 870497.0)	(67.0, 794546.5)	(68.0, 713946.5)	(69.0, 648204.0)	(70.0, 536697.0)	(71.0, 540649.5)	(72.0, 593476.0)	(73.0, 629063.0)	(74.0, 754742.0)	(75.0, 1169613.0)	(76.0, 1450897.0)	(77.0, 1559325.5)	(78.0, 1632535.5)	(79.0, 1374228.5)	(80.0, 1154381.5)	(81.0, 1149708.5)	(82.0, 1389475.5)	(83.0, 1667294.5)	(84.0, 1514084.0)	(85.0, 984746.0)	(86.0, 822200.0)	(87.0, 823357.0)	(88.0, 531461.5)	(89.0, 304635.0)	(90.0, 204213.5)	(91.0, 126680.5)	(92.0, 62875.0)	(93.0, 30157.0)	(94.0, 16694.0)	(95.0, 9888.5)	(96.0, 6376.5)	(97.0, 4592.0)	(98.0, 3793.5)	(99.0, 3307.5)	(100.0, 2475.5)
SRR10089583_2	(0.0, 7566.0)	(1.0, 5786.0)	(2.0, 4033.5)	(3.0, 4158.0)	(4.0, 4403.0)	(5.0, 4784.5)	(6.0, 5434.5)	(7.0, 6049.0)	(8.0, 6465.5)	(9.0, 6476.0)	(10.0, 6500.5)	(11.0, 6919.0)	(12.0, 7432.0)	(13.0, 8141.0)	(14.0, 9035.0)	(15.0, 10434.5)	(16.0, 12360.0)	(17.0, 14893.0)	(18.0, 18847.5)	(19.0, 24869.0)	(20.0, 33903.5)	(21.0, 46616.5)	(22.0, 64632.5)	(23.0, 89704.5)	(24.0, 123141.5)	(25.0, 168436.0)	(26.0, 227569.0)	(27.0, 302140.0)	(28.0, 392035.0)	(29.0, 495416.5)	(30.0, 608837.5)	(31.0, 729069.5)	(32.0, 850275.0)	(33.0, 969255.5)	(34.0, 1077963.5)	(35.0, 1177638.0)	(36.0, 1269864.0)	(37.0, 1350454.5)	(38.0, 1416977.0)	(39.0, 1470927.5)	(40.0, 1510445.5)	(41.0, 1526258.0)	(42.0, 1533661.5)	(43.0, 1536493.5)	(44.0, 1526551.5)	(45.0, 1536345.0)	(46.0, 1560903.5)	(47.0, 1559402.0)	(48.0, 1554417.0)	(49.0, 1559619.0)	(50.0, 1558674.0)	(51.0, 1536745.5)	(52.0, 1491423.0)	(53.0, 1444629.5)	(54.0, 1405965.5)	(55.0, 1380124.5)	(56.0, 1350741.5)	(57.0, 1308277.5)	(58.0, 1275311.5)	(59.0, 1289720.0)	(60.0, 1297404.5)	(61.0, 1322255.0)	(62.0, 1294642.0)	(63.0, 1203569.5)	(64.0, 1208751.5)	(65.0, 1134982.5)	(66.0, 928655.0)	(67.0, 747954.0)	(68.0, 634534.5)	(69.0, 584781.5)	(70.0, 538528.5)	(71.0, 559127.0)	(72.0, 644783.0)	(73.0, 618539.0)	(74.0, 694128.0)	(75.0, 949723.5)	(76.0, 1170493.5)	(77.0, 1608730.5)	(78.0, 1831965.5)	(79.0, 1398314.0)	(80.0, 981777.0)	(81.0, 955031.5)	(82.0, 1033638.5)	(83.0, 1050462.0)	(84.0, 1107175.0)	(85.0, 1107524.5)	(86.0, 1081457.5)	(87.0, 1083863.5)	(88.0, 866334.5)	(89.0, 521099.5)	(90.0, 295694.5)	(91.0, 179596.0)	(92.0, 135653.0)	(93.0, 121039.0)	(94.0, 118934.5)	(95.0, 120762.5)	(96.0, 127105.5)	(97.0, 133872.0)	(98.0, 123517.0)	(99.0, 100058.5)	(100.0, 85171.0)
