Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29
SRR10089413_1	(13.0, 55.0)	(14.0, 794.0)	(15.0, 4469.0)	(16.0, 10901.0)	(17.0, 18468.0)	(18.0, 24791.0)	(19.0, 31307.0)	(20.0, 37903.0)	(21.0, 50071.0)	(22.0, 69547.0)	(23.0, 104371.0)	(24.0, 146386.0)	(25.0, 197958.0)	(26.0, 252889.0)	(27.0, 323918.0)	(28.0, 396215.0)	(29.0, 500849.0)	(30.0, 621479.0)	(31.0, 811281.0)	(32.0, 1040281.0)	(33.0, 1426332.0)	(34.0, 2120784.0)	(35.0, 4613953.0)	(36.0, 58396112.0)	(37.0, 19294715.0)					
SRR10089413_2	(11.0, 117.0)	(12.0, 3453.0)	(13.0, 10365.0)	(14.0, 12940.0)	(15.0, 14942.0)	(16.0, 17902.0)	(17.0, 23026.0)	(18.0, 29727.0)	(19.0, 39994.0)	(20.0, 53905.0)	(21.0, 78428.0)	(22.0, 119051.0)	(23.0, 187502.0)	(24.0, 262691.0)	(25.0, 357984.0)	(26.0, 430866.0)	(27.0, 473012.0)	(28.0, 478816.0)	(29.0, 526456.0)	(30.0, 617345.0)	(31.0, 843948.0)	(32.0, 1270763.0)	(33.0, 1800870.0)	(34.0, 3431030.0)	(35.0, 8542831.0)	(36.0, 61012828.0)	(37.0, 9855037.0)			
SRR10089428_1	(13.0, 20.0)	(14.0, 471.0)	(15.0, 2701.0)	(16.0, 6574.0)	(17.0, 11405.0)	(18.0, 15616.0)	(19.0, 20193.0)	(20.0, 25818.0)	(21.0, 35050.0)	(22.0, 49436.0)	(23.0, 75199.0)	(24.0, 105998.0)	(25.0, 143993.0)	(26.0, 181592.0)	(27.0, 234726.0)	(28.0, 298168.0)	(29.0, 388112.0)	(30.0, 491727.0)	(31.0, 639679.0)	(32.0, 827328.0)	(33.0, 1247643.0)	(34.0, 1904921.0)	(35.0, 4166650.0)	(36.0, 53649423.0)	(37.0, 18432031.0)					
SRR10089428_2	(10.0, 1.0)	(11.0, 129.0)	(12.0, 3935.0)	(13.0, 11565.0)	(14.0, 13882.0)	(15.0, 14597.0)	(16.0, 16221.0)	(17.0, 20566.0)	(18.0, 26437.0)	(19.0, 36568.0)	(20.0, 54459.0)	(21.0, 91756.0)	(22.0, 169644.0)	(23.0, 317951.0)	(24.0, 446223.0)	(25.0, 539620.0)	(26.0, 541324.0)	(27.0, 510813.0)	(28.0, 458309.0)	(29.0, 462999.0)	(30.0, 527638.0)	(31.0, 758390.0)	(32.0, 1312775.0)	(33.0, 1841362.0)	(34.0, 3758157.0)	(35.0, 8432301.0)	(36.0, 54214648.0)	(37.0, 8372204.0)		
SRR10089431_1	(13.0, 40.0)	(14.0, 609.0)	(15.0, 2987.0)	(16.0, 7138.0)	(17.0, 11715.0)	(18.0, 16630.0)	(19.0, 22550.0)	(20.0, 31121.0)	(21.0, 46258.0)	(22.0, 74299.0)	(23.0, 120500.0)	(24.0, 175388.0)	(25.0, 257467.0)	(26.0, 348690.0)	(27.0, 466317.0)	(28.0, 600407.0)	(29.0, 779757.0)	(30.0, 993251.0)	(31.0, 1263337.0)	(32.0, 1550234.0)	(33.0, 2132327.0)	(34.0, 3037647.0)	(35.0, 6243797.0)	(36.0, 64353086.0)	(37.0, 16315538.0)					
SRR10089431_2	(8.0, 2.0)	(9.0, 3.0)	(10.0, 15.0)	(11.0, 165.0)	(12.0, 4317.0)	(13.0, 14606.0)	(14.0, 19072.0)	(15.0, 20676.0)	(16.0, 23088.0)	(17.0, 28958.0)	(18.0, 36639.0)	(19.0, 50875.0)	(20.0, 74723.0)	(21.0, 117309.0)	(22.0, 187973.0)	(23.0, 299008.0)	(24.0, 422468.0)	(25.0, 558134.0)	(26.0, 638204.0)	(27.0, 678630.0)	(28.0, 697919.0)	(29.0, 792457.0)	(30.0, 947642.0)	(31.0, 1276912.0)	(32.0, 1823734.0)	(33.0, 2617244.0)	(34.0, 4914543.0)	(35.0, 11451224.0)	(36.0, 62397118.0)	(37.0, 8757432.0)
SRR10089494_1	(21.0, 4.0)	(22.0, 100.0)	(23.0, 2412.0)	(24.0, 35220.0)	(25.0, 133371.0)	(26.0, 207789.0)	(27.0, 292346.0)	(28.0, 389035.0)	(29.0, 517415.0)	(30.0, 666189.0)	(31.0, 873524.0)	(32.0, 1112336.0)	(33.0, 1482606.0)	(34.0, 2146757.0)	(35.0, 4518314.0)	(36.0, 56695359.0)	(37.0, 21264364.0)													
SRR10089494_2	(20.0, 6.0)	(21.0, 37.0)	(22.0, 199.0)	(23.0, 5134.0)	(24.0, 106678.0)	(25.0, 396166.0)	(26.0, 464394.0)	(27.0, 463168.0)	(28.0, 453069.0)	(29.0, 500808.0)	(30.0, 593364.0)	(31.0, 761342.0)	(32.0, 1002469.0)	(33.0, 1463447.0)	(34.0, 2455802.0)	(35.0, 6761409.0)	(36.0, 60829061.0)	(37.0, 14080588.0)												
SRR10089583_1	(13.0, 22.0)	(14.0, 298.0)	(15.0, 1570.0)	(16.0, 3855.0)	(17.0, 6693.0)	(18.0, 9719.0)	(19.0, 13558.0)	(20.0, 19317.0)	(21.0, 30721.0)	(22.0, 51210.0)	(23.0, 87804.0)	(24.0, 136580.0)	(25.0, 210799.0)	(26.0, 296508.0)	(27.0, 394961.0)	(28.0, 484873.0)	(29.0, 608028.0)	(30.0, 756619.0)	(31.0, 958563.0)	(32.0, 1191175.0)	(33.0, 1639430.0)	(34.0, 2387864.0)	(35.0, 4795202.0)	(36.0, 47274064.0)	(37.0, 12864430.0)					
SRR10089583_2	(9.0, 2.0)	(10.0, 5.0)	(11.0, 147.0)	(12.0, 3243.0)	(13.0, 11661.0)	(14.0, 15764.0)	(15.0, 17718.0)	(16.0, 20315.0)	(17.0, 25082.0)	(18.0, 32497.0)	(19.0, 45684.0)	(20.0, 68520.0)	(21.0, 112555.0)	(22.0, 192843.0)	(23.0, 353618.0)	(24.0, 536093.0)	(25.0, 689284.0)	(26.0, 731199.0)	(27.0, 680718.0)	(28.0, 615190.0)	(29.0, 642341.0)	(30.0, 739700.0)	(31.0, 985286.0)	(32.0, 1412809.0)	(33.0, 1996955.0)	(34.0, 3692326.0)	(35.0, 8267839.0)	(36.0, 45576811.0)	(37.0, 6757658.0)	
