Sample	Unique Reads	Duplicate Reads
SRR10089413_1	34804986.0	55690843.0
SRR10089413_2	35232664.0	55263165.0
SRR10089428_1	33528389.0	49426085.0
SRR10089428_2	34354919.0	48599555.0
SRR10089431_1	40231746.0	58619344.0
SRR10089431_2	40622791.0	58228299.0
SRR10089494_1	39956776.0	50380365.0
SRR10089494_2	39473267.0	50863874.0
SRR10089583_1	30344942.0	43878921.0
SRR10089583_2	31002593.0	43221270.0
SRR10089589_1	34158230.0	61413403.0
SRR10089589_2	35180675.0	60390958.0
SRR10089616_1	31116045.0	43091478.0
SRR10089616_2	32321594.0	41885929.0
SRR10089670_1	35862041.0	54646479.0
SRR10089670_2	36645579.0	53862941.0
