Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
SRR10089413_1	(1.0, 27.583627310489994)	(2.0, 12.570550921984506)	(3.0, 6.239274460909256)	(4.0, 3.4637096247303316)	(5.0, 2.366153033026453)	(6.0, 1.6446928397997669)	(7.0, 1.3183191609529334)	(8.0, 1.0193146557932244)	(9.0, 0.8518722797032455)	('>10', 7.42125316101065)	('>50', 2.017455657632311)	('>100', 4.8029068661624255)	('>500', 2.5554543909437304)	('>1k', 9.135039581829629)	('>5k', 5.784114554297236)	('>10k+', 11.226261500734362)
SRR10089413_2	(1.0, 28.10559283752248)	(2.0, 12.380789882782647)	(3.0, 6.334311857265794)	(4.0, 3.6198009929581194)	(5.0, 2.3851230832640495)	(6.0, 1.6239064084846142)	(7.0, 1.255460315270791)	(8.0, 1.0115398570035967)	(9.0, 0.7793709431266633)	('>10', 7.2663747259667275)	('>50', 1.9608982939621367)	('>100', 4.597234695367817)	('>500', 2.636750896316767)	('>1k', 10.341330984697144)	('>5k', 5.641668622270205)	('>10k+', 10.059845603740294)
SRR10089428_1	(1.0, 28.65450823123346)	(2.0, 13.416546158771087)	(3.0, 6.653489251378835)	(4.0, 3.956301047549951)	(5.0, 2.5601345983385353)	(6.0, 1.9097560737156496)	(7.0, 1.4177662317658593)	(8.0, 1.1396302882723968)	(9.0, 0.9552779600615565)	('>10', 8.748157955033873)	('>50', 2.2021998385941206)	('>100', 4.903447689333987)	('>500', 2.3026882921103793)	('>1k', 8.018155939525673)	('>5k', 4.626786205455906)	('>10k+', 8.535154238858885)
SRR10089428_2	(1.0, 29.696876399598004)	(2.0, 13.371350539021746)	(3.0, 6.802128980007806)	(4.0, 3.8339335203889746)	(5.0, 2.555898785829546)	(6.0, 1.833959109166973)	(7.0, 1.4184971715624237)	(8.0, 1.0817621569303257)	(9.0, 0.8709853474469527)	('>10', 8.499286580846222)	('>50', 2.197328565133032)	('>100', 5.1757631179650385)	('>500', 2.542011847159541)	('>1k', 9.073526500901293)	('>5k', 4.708018687457562)	('>10k+', 6.338672690584271)
SRR10089431_1	(1.0, 29.84562227059118)	(2.0, 12.371665797457705)	(3.0, 6.116111095912713)	(4.0, 3.5518342220792634)	(5.0, 2.3583222918812297)	(6.0, 1.7403218039107244)	(7.0, 1.3284080600117192)	(8.0, 1.1214499265773248)	(9.0, 0.9015850162663686)	('>10', 8.448997528598092)	('>50', 2.2166124472864004)	('>100', 5.070349814364351)	('>500', 2.2706464168024443)	('>1k', 7.217893933726486)	('>5k', 4.629749724121006)	('>10k+', 10.810429650412727)
SRR10089431_2	(1.0, 30.297453981380723)	(2.0, 12.24321810121472)	(3.0, 6.088923386894284)	(4.0, 3.5221944980353164)	(5.0, 2.420567110693038)	(6.0, 1.7888759343463037)	(7.0, 1.3530827748931613)	(8.0, 1.1080701529783543)	(9.0, 0.9315668541832212)	('>10', 8.436390682605635)	('>50', 2.223831677534663)	('>100', 4.797480549496959)	('>500', 2.1932827825517807)	('>1k', 7.76771180726072)	('>5k', 5.074189102063889)	('>10k+', 9.75316060386712)
SRR10089494_1	(1.0, 31.65442171028503)	(2.0, 14.992753624475958)	(3.0, 7.212204520513412)	(4.0, 3.9563980914027566)	(5.0, 2.5781032876125263)	(6.0, 1.7411242389161803)	(7.0, 1.2906198905849076)	(8.0, 0.9997438343608765)	(9.0, 0.8252565834588391)	('>10', 7.317445864027072)	('>50', 1.8983335125484324)	('>100', 4.493502666944586)	('>500', 2.037312031689326)	('>1k', 7.093322707841046)	('>5k', 4.366637932962218)	('>10k+', 7.5428195023767355)
SRR10089494_2	(1.0, 31.226544473581402)	(2.0, 14.732416613112475)	(3.0, 7.175298716171779)	(4.0, 4.002219804557787)	(5.0, 2.557735756903032)	(6.0, 1.7904005409343493)	(7.0, 1.3409680541648688)	(8.0, 1.047233025786485)	(9.0, 0.8669452560464266)	('>10', 7.354076306061246)	('>50', 1.8437139240924134)	('>100', 4.418288640663558)	('>500', 2.0271148278795765)	('>1k', 7.956923231568852)	('>5k', 4.701994242372521)	('>10k+', 6.958126586103548)
SRR10089583_1	(1.0, 30.022987286774455)	(2.0, 12.815614671305697)	(3.0, 6.202149375555332)	(4.0, 3.4662270587166053)	(5.0, 2.194700564507483)	(6.0, 1.5058641900170826)	(7.0, 1.2009390924829464)	(8.0, 0.9277300366737151)	(9.0, 0.7503008024375739)	('>10', 6.994544158218222)	('>50', 1.8854971347348748)	('>100', 4.348108881207886)	('>500', 2.119125903839283)	('>1k', 8.164746692316331)	('>5k', 5.760497287027871)	('>10k+', 11.640966864184774)
SRR10089583_2	(1.0, 30.86875579153628)	(2.0, 12.914638923368663)	(3.0, 6.186323272279522)	(4.0, 3.4460463013905622)	(5.0, 2.217649592556189)	(6.0, 1.5431307404306231)	(7.0, 1.2151183705188946)	(8.0, 0.8811170315889173)	(9.0, 0.771923029819366)	('>10', 6.882332948397435)	('>50', 1.874322698988114)	('>100', 4.282401325566146)	('>500', 2.1017730149031717)	('>1k', 9.929808355943173)	('>5k', 6.434925840886184)	('>10k+', 8.449732761826672)
