Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27
SRR10089413_1	(151, 90495829.0)																											
SRR10089413_2	(151, 90495829.0)																											
SRR10089428_1	(151, 82954474.0)																											
SRR10089428_2	(151, 82954474.0)																											
SRR10089431_1	(151, 98851090.0)																											
SRR10089431_2	(151, 98851090.0)																											
SRR10089494_1	(15, 1256.0)	(20, 1953.0)	(25, 2611.0)	(30, 10117.0)	(35, 11925.0)	(40, 11983.0)	(45, 12529.0)	(50, 13493.0)	(55, 15378.0)	(60, 19029.0)	(65, 26230.0)	(70, 39872.0)	(75, 65245.0)	(80, 115417.0)	(85, 196771.0)	(90, 342484.0)	(95, 549041.0)	(100, 847423.0)	(105, 1193851.0)	(110, 1594664.0)	(115, 1997760.0)	(120, 2408881.0)	(125, 2760707.0)	(130, 3047542.0)	(135, 3285533.0)	(140, 3451188.0)	(145, 3513950.0)	(150, 64800308.0)
SRR10089494_2	(30, 9476.0)	(35, 11856.0)	(40, 11895.0)	(45, 12442.0)	(50, 13394.0)	(55, 15240.0)	(60, 18876.0)	(65, 25973.0)	(70, 39537.0)	(75, 64611.0)	(80, 114512.0)	(85, 195126.0)	(90, 339089.0)	(95, 542708.0)	(100, 837478.0)	(105, 1180007.0)	(110, 1572931.0)	(115, 1958521.0)	(120, 2350838.0)	(125, 2681486.0)	(130, 2938305.0)	(135, 3170127.0)	(140, 3326342.0)	(145, 3405755.0)	(150, 65500616.0)			
SRR10089583_1	(151, 74223863.0)																											
SRR10089583_2	(151, 74223863.0)																											
SRR10089589_1	(151, 95571633.0)																											
SRR10089589_2	(151, 95571633.0)																											
SRR10089616_1	(151, 74207523.0)																											
SRR10089616_2	(151, 74207523.0)																											
SRR10089670_1	(151, 90508520.0)																											
SRR10089670_2	(151, 90508520.0)																											
