Sample	Filename	File type	Encoding	Total Sequences	Total Bases	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	median_sequence_length	basic_statistics	per_base_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
SRR10089413_1	SRR10089413_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	90495829.0	13.6 Gbp	0.0	151.0	57.0	38.46031997225843	151.0	151	pass	pass	pass	warn	fail	pass	pass	fail	warn	fail
SRR10089413_2	SRR10089413_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	90495829.0	13.6 Gbp	0.0	151.0	57.0	38.932914149000695	151.0	151	pass	pass	pass	fail	fail	pass	pass	fail	warn	fail
SRR10089428_1	SRR10089428_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	82954474.0	12.5 Gbp	0.0	151.0	54.0	40.41781763416591	151.0	151	pass	pass	pass	warn	fail	pass	pass	fail	warn	fail
SRR10089428_2	SRR10089428_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	82954474.0	12.5 Gbp	0.0	151.0	55.0	41.41418383794311	151.0	151	pass	pass	pass	fail	fail	pass	pass	fail	pass	fail
SRR10089431_1	SRR10089431_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	98851090.0	14.9 Gbp	0.0	151.0	54.0	40.69934427031706	151.0	151	pass	pass	pass	warn	fail	pass	pass	fail	warn	fail
SRR10089431_2	SRR10089431_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	98851090.0	14.9 Gbp	0.0	151.0	55.0	41.094934133447666	151.0	151	pass	pass	pass	fail	fail	pass	pass	fail	warn	fail
SRR10089494_1	SRR10089494_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	91572154.0	13.8 Gbp	0.0	151.0	53.0	44.217702640097606	151.0	151	pass	pass	pass	warn	fail	pass	pass	fail	warn	fail
SRR10089494_2	SRR10089494_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	91572154.0	13.8 Gbp	0.0	151.0	54.0	43.97847109867196	151.0	151	pass	pass	pass	fail	fail	pass	pass	fail	pass	fail
SRR10089583_1	SRR10089583_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	74223863.0	11.2 Gbp	0.0	151.0	56.0	40.88300008679621	151.0	151	pass	pass	pass	warn	fail	pass	pass	fail	warn	fail
SRR10089583_2	SRR10089583_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	74223863.0	11.2 Gbp	0.0	151.0	57.0	41.76903608133918	151.0	151	pass	pass	pass	fail	fail	pass	pass	fail	warn	fail
SRR10089589_1	SRR10089589_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	95571633.0	14.4 Gbp	0.0	151.0	58.0	35.74097083898551	151.0	151	pass	pass	pass	warn	fail	pass	pass	fail	warn	fail
SRR10089589_2	SRR10089589_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	95571633.0	14.4 Gbp	0.0	151.0	58.0	36.810791769242286	151.0	151	pass	pass	pass	fail	fail	pass	pass	fail	warn	fail
SRR10089616_1	SRR10089616_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	74207523.0	11.2 Gbp	0.0	151.0	54.0	41.931118691171555	151.0	151	pass	pass	pass	warn	fail	pass	pass	fail	warn	fail
SRR10089616_2	SRR10089616_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	74207523.0	11.2 Gbp	0.0	151.0	55.0	43.55568249049852	151.0	151	pass	pass	pass	fail	fail	pass	pass	fail	pass	fail
SRR10089670_1	SRR10089670_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	90508520.0	13.6 Gbp	0.0	151.0	54.0	39.62283335562142	151.0	151	pass	pass	pass	warn	fail	pass	pass	fail	warn	fail
SRR10089670_2	SRR10089670_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	90508520.0	13.6 Gbp	0.0	151.0	55.0	40.48854022513213	151.0	151	pass	pass	pass	fail	fail	pass	pass	fail	warn	fail
