Sample	fastp-pct_duplication	fastp-after_filtering_q30_rate	fastp-after_filtering_q30_bases	fastp-filtering_result_passed_filter_reads	fastp-after_filtering_gc_content	fastp-pct_surviving	fastp-pct_adapter	fastqc-percent_duplicates	fastqc-percent_gc	fastqc-avg_sequence_length	fastqc-median_sequence_length	fastqc-percent_fails	fastqc-total_sequences
SRR10089413_1	20.8001	95.76639999999999	24871.130055999998	178.675324	57.2221	98.72019847456174	25.88493222157233	61.53968002774157	57.0	151.0	151	30.0	90.495829
SRR10089413_2								61.067085850999305	57.0	151.0	151	40.0	90.495829
SRR10089428_1	20.9587	95.96430000000001	22252.358095	163.198804	54.6744	98.36648714088646	35.85583762486397	59.58218236583409	54.0	151.0	151	30.0	82.95447399999999
SRR10089428_2								58.58581616205689	55.0	151.0	151	40.0	82.95447399999999
SRR10089431_1	20.200699999999998	94.7176	26678.412871999997	194.464416	54.80500000000001	98.36230232767286	26.58766635754851	59.30065572968294	54.0	151.0	151	30.0	98.85109
SRR10089431_2								58.905065866552334	55.0	151.0	151	40.0	98.85109
SRR10089494_1	22.4547	95.5547	24936.318626	180.674282	53.8796	98.65132254069289	28.502139416748896	55.782297359902394	53.0	151.0	151	30.0	91.572154
SRR10089494_2								56.02152890132804	54.0	151.0	151	40.0	91.572154
SRR10089583_1	21.3286	94.43249999999999	19807.132404	145.33574	56.8124	97.90364858805583	28.442420195779896	59.11699991320379	56.0	151.0	151	30.0	74.223863
SRR10089583_2								58.23096391866082	57.0	151.0	151	40.0	74.223863
SRR10089589_1	26.3329	94.9927	25220.316627	187.82903399999998	58.3909	98.26610056982076	37.19144361591059	64.2590291610145	58.0	151.0	151	30.0	95.57163299999999
SRR10089589_2								63.189208230757714	58.0	151.0	151	40.0	95.57163299999999
SRR10089616_1	26.348899999999997	95.1616	19968.891627	145.82178399999998	54.6851	98.25269602382497	30.671212405243605	58.068881308828445	54.0	151.0	151	30.0	74.207523
SRR10089616_2								56.44431750950148	55.0	151.0	151	40.0	74.207523
SRR10089670_1	21.590400000000002	94.04679999999999	24089.353875	178.03357599999998	54.941300000000005	98.35183251256345	30.0395703078561	60.37716664437858	54.0	151.0	151	30.0	90.50851999999999
SRR10089670_2								59.51145977486787	55.0	151.0	151	40.0	90.50851999999999
