Module	Section	Sample Name	Source
fastp	all_sections	SRR10089413_1	/project/results/qc/fastp/SRR10089413.fastp.json
fastp	all_sections	SRR10089428_1	/project/results/qc/fastp/SRR10089428.fastp.json
fastp	all_sections	SRR10089431_1	/project/results/qc/fastp/SRR10089431.fastp.json
fastp	all_sections	SRR10089494_1	/project/results/qc/fastp/SRR10089494.fastp.json
fastp	all_sections	SRR10089583_1	/project/results/qc/fastp/SRR10089583.fastp.json
fastp	all_sections	SRR10089589_1	/project/results/qc/fastp/SRR10089589.fastp.json
fastp	all_sections	SRR10089616_1	/project/results/qc/fastp/SRR10089616.fastp.json
fastp	all_sections	SRR10089670_1	/project/results/qc/fastp/SRR10089670.fastp.json
FastQC	all_sections	SRR10089413_1	/project/results/qc/raw_fastqc/SRR10089413_1_fastqc.zip
FastQC	all_sections	SRR10089413_2	/project/results/qc/raw_fastqc/SRR10089413_2_fastqc.zip
FastQC	all_sections	SRR10089428_1	/project/results/qc/raw_fastqc/SRR10089428_1_fastqc.zip
FastQC	all_sections	SRR10089428_2	/project/results/qc/raw_fastqc/SRR10089428_2_fastqc.zip
FastQC	all_sections	SRR10089431_1	/project/results/qc/raw_fastqc/SRR10089431_1_fastqc.zip
FastQC	all_sections	SRR10089431_2	/project/results/qc/raw_fastqc/SRR10089431_2_fastqc.zip
FastQC	all_sections	SRR10089583_1	/project/results/qc/raw_fastqc/SRR10089583_1_fastqc.zip
FastQC	all_sections	SRR10089583_2	/project/results/qc/raw_fastqc/SRR10089583_2_fastqc.zip
FastQC	all_sections	SRR10089589_1	/project/results/qc/raw_fastqc/SRR10089589_1_fastqc.zip
FastQC	all_sections	SRR10089589_2	/project/results/qc/raw_fastqc/SRR10089589_2_fastqc.zip
FastQC	all_sections	SRR10089616_1	/project/results/qc/raw_fastqc/SRR10089616_1_fastqc.zip
FastQC	all_sections	SRR10089616_2	/project/results/qc/raw_fastqc/SRR10089616_2_fastqc.zip
FastQC	all_sections	SRR10089670_1	/project/results/qc/raw_fastqc/SRR10089670_1_fastqc.zip
FastQC	all_sections	SRR10089670_2	/project/results/qc/raw_fastqc/SRR10089670_2_fastqc.zip
FastQC	all_sections	SRR10089494_1	/project/results/qc/trimmed_fastqc/SRR10089494_1.trimmed_fastqc.zip
FastQC	all_sections	SRR10089494_2	/project/results/qc/trimmed_fastqc/SRR10089494_2.trimmed_fastqc.zip
