panel,gene,SRR10089589,SRR10089616,SRR10089583,SRR10089670,SRR10089428,SRR10089503,SRR10089413,SRR10089431
CD4 / pan-T,CD3D,149.6,125.3,129.4,145.8,129.9,60.7,126.2,141.2
CD4 / pan-T,CD3E,529.0,481.9,510.0,559.9,514.8,231.6,512.2,560.2
CD4 / pan-T,TRAC,539.7,446.9,480.8,439.9,476.7,204.0,394.5,544.2
CD4 / pan-T,IL7R,2356.8,3042.1,2513.9,2524.6,3216.3,1190.0,2712.0,2408.9
CD4 / pan-T,CD2,189.1,185.0,177.5,151.0,188.3,68.6,145.1,174.4
Myeloid / monocyte,LYZ,198.5,131.5,46.4,134.0,66.3,8292.7,141.4,49.1
Myeloid / monocyte,CD14,21.0,9.1,3.6,12.5,5.1,623.6,10.7,4.5
Myeloid / monocyte,S100A9,41.9,18.6,5.6,23.2,9.4,1196.0,24.5,7.8
Myeloid / monocyte,FCN1,53.9,22.4,6.7,28.4,11.4,1797.5,25.3,7.8
Myeloid / monocyte,CST3,28.2,8.0,3.0,9.2,5.1,645.3,8.6,4.2
B / NK-cytotoxic,MS4A1,2.2,3.7,3.1,0.3,2.1,0.9,0.7,1.1
B / NK-cytotoxic,CD79B,19.3,13.2,13.3,13.5,11.9,8.8,11.3,14.3
B / NK-cytotoxic,NKG7,12.2,7.8,120.7,39.1,12.9,4.2,3.1,13.6
B / NK-cytotoxic,GNLY,32.2,44.0,183.3,58.6,47.1,2.4,8.5,16.4
B / NK-cytotoxic,PRF1,98.8,71.6,201.9,133.1,79.2,20.5,34.6,104.7
