stringId_A	stringId_B	preferredName_A	preferredName_B	ncbiTaxonId	score	nscore	fscore	pscore	ascore	escore	dscore	tscore
9606.ENSP00000006053	9606.ENSP00000369581	CX3CL1	IFNB1	9606	0.495	0	0	0	0	0.0	0.0	0.496
9606.ENSP00000006053	9606.ENSP00000259607	CX3CL1	CCL21	9606	0.507	0	0	0	0	0.0	0.0	0.507
9606.ENSP00000006053	9606.ENSP00000420298	CX3CL1	CD200	9606	0.524	0	0	0	0	0.0	0.0	0.524
9606.ENSP00000006053	9606.ENSP00000354901	CX3CL1	CXCL9	9606	0.56	0	0	0	0	0.0	0.0	0.56
9606.ENSP00000006053	9606.ENSP00000379110	CX3CL1	CXCL1	9606	0.568	0	0	0	0	0.0	0.0	0.568
9606.ENSP00000006053	9606.ENSP00000369554	CX3CL1	IFNA2	9606	0.607	0	0	0	0	0.0	0.0	0.607
9606.ENSP00000006053	9606.ENSP00000474412	CX3CL1	CCL5	9606	0.643	0	0	0	0	0.0	0.0	0.643
9606.ENSP00000006053	9606.ENSP00000292174	CX3CL1	CXCR5	9606	0.65	0	0	0	0	0.0	0.65	0.0
9606.ENSP00000006053	9606.ENSP00000350256	CX3CL1	CCR9	9606	0.65	0	0	0	0	0.0	0.65	0.0
9606.ENSP00000006053	9606.ENSP00000332504	CX3CL1	CCR10	9606	0.65	0	0	0	0	0.0	0.65	0.0
9606.ENSP00000006053	9606.ENSP00000332659	CX3CL1	CCR4	9606	0.65	0	0	0	0	0.0	0.65	0.0
9606.ENSP00000006053	9606.ENSP00000246657	CX3CL1	CCR7	9606	0.741	0	0	0	0	0.0	0.65	0.293
9606.ENSP00000006053	9606.ENSP00000326432	CX3CL1	CCR8	9606	0.762	0	0	0	0	0.0	0.65	0.349
9606.ENSP00000006053	9606.ENSP00000441600	CX3CL1	CCR3	9606	0.762	0	0	0	0	0.0	0.65	0.349
9606.ENSP00000006053	9606.ENSP00000296140	CX3CL1	CCR1	9606	0.764	0	0	0	0	0.0	0.65	0.356
9606.ENSP00000006053	9606.ENSP00000310405	CX3CL1	XCR1	9606	0.766	0	0	0	0	0.0	0.65	0.361
9606.ENSP00000006053	9606.ENSP00000497260	CX3CL1	GNAI1	9606	0.8	0	0	0	0	0.8	0.0	0.0
9606.ENSP00000006053	9606.ENSP00000343952	CX3CL1	CCR6	9606	0.813	0	0	0	0	0.0	0.65	0.49
9606.ENSP00000006053	9606.ENSP00000319635	CX3CL1	CXCR2	9606	0.823	0	0	0	0	0.0	0.65	0.517
9606.ENSP00000006053	9606.ENSP00000395704	CX3CL1	CXCR6	9606	0.895	0	0	0	0	0.0	0.65	0.715
9606.ENSP00000006053	9606.ENSP00000292303	CX3CL1	CCR5	9606	0.918	0	0	0	0	0.0	0.65	0.777
9606.ENSP00000006053	9606.ENSP00000302234	CX3CL1	CCL11	9606	0.957	0	0	0	0	0.0	0.0	0.957
9606.ENSP00000006053	9606.ENSP00000362795	CX3CL1	CXCR3	9606	0.969	0	0	0	0	0.0	0.65	0.916
9606.ENSP00000006053	9606.ENSP00000295683	CX3CL1	CXCR1	9606	0.984	0	0	0	0	0.0	0.65	0.958
9606.ENSP00000006053	9606.ENSP00000386884	CX3CL1	CXCR4	9606	0.99	0	0	0	0	0.0	0.65	0.973
